sourcenotation;sourcelabel;targetnotation
133.5949514;Taoist astrology, ...;BE 8240
133.6;Palmistry;CS 4500
133.6;CP 9400
133.6;BE 3640
133.6;BM 9460
133.6092;Palmists, . ..;BE 2540
133.6092;LC 52000
133.8;Psychic phenomena;BE 9130
133.8;BM 9440
133.8;BM 9460
133.82;Telepathy;BM 9460
133.82;CP 9460
133.82-133.86;Extrasensory perception;BM 9100
133.82-133.86;BM 9400
133.82-133.86;BE 9100
133.82-133.86;CP 9400
133.84;BM 9460
133.84;Clairvoyance;BM 9460
133.85;CP 9400
133.85;BM 9460
133.86;Precognition;BM 9460
133.86;CP 9400
133.88;Psychokinesis;CP 9400
133.89;Animal magnetism, hypnosis, extrasensory perception of animals, aura;CP 9400
133.89;BM 9400
133.892;Aura;BM 9470
133.892;BM 9400
133.9;Spiritualism;BM 9450
133.91;Mediumship;BE 2395
133.91;BE 3670
133.92;Specific mediumistic phenomena;BM 9440
133.92;CP 9400
133.93;Psychic messages;CP 9500
133.9325;Ouija board
133.95;Astral projection (Out-of-body experience);BM 9460
133.95;CP 9400
135;Dreams and mysteries;BM 9430
135.3;Dreams;CP 9400
135.3;CP 9000
135.4;Rosicrucianism, Hermetism, cabala;
135.43;Rosicrucianism
135.43;135/.43
135.43092;Rosicrucians, ...
135.43092;135/.43092
135.45;Hermetism;CD 1600
135.45;CI 1110
135.45;BG 2000 - BG 2980
135.47;Cabala;BD 5850
135.47;BD 4870
136;[Unassigned]
137;Divinatory graphology]CS 4500
138;Physiognomy;YH 4500
138;CZ 1000
139;Phrenology;BG 2500
14;Philosophical schools of thought;BG 2540
140;Specific philosophical schools and viewpoints;
141;Idealism and related systems and doctrines;BG 2540
141.2;Modern Platonism and Neoplatonism;CD 3950
141.2;BF 2376
141.2;CI 1150
141.3;Transcendentalism;HT 1722
141.4;Individualism;BL 4740
141.5;Personalism;BL 4300
141.6;Romanticism;IB 5250
141.6;		;IQ 00145
141.6;		;LH 65780
141.6;		;MC 6100
142;Critical philosophy;
142.3;Kantianism;CF 5000 - CF 5017
142.3;		;BF 4045 - BF 4046
142.3;		;DD 7460 - DD 7461
142.3;		;MC 5450 - MC 5453
142.7;Phenomenology;CI 1120
142.78;Existentialism;GM 1550
142.78;		;BF 1550
142.78;		;IH 1676
143;Bergsonism and intuitionism;CI 5500 - CI 5517
143;				;BF 5190 - BF 5191
144;Humanism and related systems and doctrines;Bo 5325
144;				;MC 4100
144.3;Pragmatism;CI 1110
144.3;		;BL 4800
144.5;Instrumentalism;CC 3000 - CC 3300
144.6;Utilitarianism;MC 6300
144.6;		;QE 300
145;Sensationalism;
146;Naturalism and related systems and doctrines;GM 1660
146.3;Materialism;MC 5170
146.32;Dialectical materialism;BF 1460
146.4;Positivism and related systems;BG 2360
146.42;Logical positivism (Logical empiricism)(In DDC deutsch: Neopositivismus);CI 1150
146.44;Empiricism;CI 1150
146.5 Atomism;CC 3500
146.5;	;CC 6100 - CC 6350
146.5;;UB 244
146.5;;CC 3500
146.6;;CC 6100 - CC 6350
146.7;Evolutionismus und Prozessphilosophie;HL 1133
146.7;					;WH 2100  	
147;Pantheism and related systems and doctrines;BG 3495
147;						;BH 4400
147.3;Monism;BG 3500
147.4;Dualism and pluralism;BE 3740
147.4;			;MD 1500
148;Dogmatism, eclecticism, liberalism, syncretism, traditionalism;LH 67548
148;		;CC 7920
148;		;BE 3730
149;Other philosophical systems and doctrines;CC
149;					;BF 8000 - BF 9200
149.1;Conceptualism and nominalism;BN 2610
149.2;Realism;BK 3350
149.2;CC 6020
149.3;Mysticism;BD 4940
149.5;Optimism;CP 3000
149.6;Pessimism;CP 3000
149.7;Rationalism and related systems and doctrines;BG 2390
149.72;Agnosticism;CC 8480 - CC 8500
149.72;		;BF 1530
149.73;Skepticism;BK 2700
149.8;Nihilism;BK 2800
149.9;Miscellaneous systems and doctrines
149.91;Neo-Aristotelianism, neo-scholasticism, neo-Thomism;
149.94;Linguistic philosophies;BF 1535
149.94;			;BF 8850
149.94;			;BV 9200
149.94;			;CC 4600 - CC 4800
149.94;			;EG 9020
149.94;			;ER 600 - ER 640  	
149.96;Structuralism;BG 2480
149.97;Structuralism (Poststrukturalismus, Postmoderne);CI 1125
149.97;	;CI 1125
149.97;;MR 5450
15;Psychology
150;Psychology;CL - CZ Psychologie
150.1;Philosophy and theory, systems, viewpoints
150.15195;Psychometrics, ...;QH 254
150.19;Systems, schools, viewpoints;Keine Treffer
150.192;Existential, faculty, phenomenological, rational schools;Keine Treffer
150.193;Functionalism;LH 67556
150.194;Reductionism;BG 2780
150.1943;Behaviorism;MB 2440
150.1943;	;CP 8000
150.19432;Watsonian behaviorism;
150.19434;Neobehaviorism (Pragmatic reductionism);
150.1944;Reflexology (Associationism);CP 4000
150.195;Psychoanalytic systems;CU 2000
150.195;		;CU 2000 - CU 2690
150.19508664;Homophobia in psychoanalysis, ...;
150.195092;Psychoanalysts, ...;
150.1952;Freudian system;CU 2560 - CU 2565
150.1952092;Freudian psychoanalysts, ...;
150.1953;Adlerian system;CU 2500 - CU 2503
150.1954;Jungian system;CU 2580 - CU 2583
150.1957;Neopsychoanalytic systems;
150.198;Other system;
150.1982;Gestalt psychology;CU 8530
150.1984;Field theory;MR 6000
150.1985;Personal construct psychology;CP 5000
150.1985;			;CX 3000
150.1986;Humanistic psychology;MC 4100
150.1987;Transpersonal psychology;
150.1988;Positiv  psychology;
150.2;Miscellany;
150.287;Testing and measurement;CM 3000
150.287;			;CS 1500
150.287;			;CT
150.287;			;CT 8000
150.3;Psychology--dictionaries, ...;
150.7;Education, research, related topics;CU 8600
150.7;					;CW 5000
150.72;Psychology--research, ...;
150.724;Experimental research;
150.8;Groups of people;
150.82;Feminist psychology, ...;
150.9;History, geographic treatment, biography;CM 2000
150.92;Behavior analysts, ...;CP 8000
150.92;Psychologen		;
150.93-150.99;Specific continents, countries, localities, extraterrestrial worlds;
152-158;Specific topics in psychology
152;Sensory perception, moveme2500
152.1;Sensory perception;CP 2500
152.14;Visual perception;CP 2500
152.142;Spatial perception;CP 2500
152.1422;Visual acuity;;CP 2500
152.1423;Pattern perception;
152.1425;Movement perception;
152.143;Brightness perception;;CP 2500
152.145;Color perception;WW 1820 - WW 1859
152.145;		;CP 2500
152.148;Optical illusions;;CP 2500
152.15;Auditory perception;;CP 2500
152.152;Pitch perception;;CP 2500
152.154;Volume perception;;CP 2500
152.157;Timbre perception (Tone discrimination);;CP 2500
152.158;Localization;;CP 2500
152.16;Chemical sensory perception;WW 1740 - WW 1779
152.166;Perception of smells;WW 1740 - WW 1779
152.167;Perception of tastes;WW 1740 - WW 1779
152.18;Other types of sensory perception
152.182;Cutaneous perception;WW 5000 - WW 5289
152.1822;Thermal perception;WW 1700 - WW 1739
152.1823;Pressure perception;
152.1824;Pain perception;WW 4250 - WW 4289
152.188;Proprioceptive and visceral perceptions
152.1882;Proprioceptive perception;CV 3000
152.1886;Visceral perceptions;
152.189;Synesthesia;
152.3;Movements and motor functions;CQ 3000
152.32;Involuntary movements
152.322;Reflexes;YG 2200 - YG 2299
152.322;	;WW 4120 - WW 4199
152.322;WT 2100 - WT 2139
152.3223;Innate reflexes;YG 2200 - YG 2299
152.322;;WW 4120 - WW 4199
152.3224;Conditioned reflexes;YG 2200 - YG 2299
152.322;;WW 4120 - WW 4199
152.324;Instinctive movements;YG 2200 - YG 2299
152.322;;WW 4120 - WW 4199
152.33;Habits and habit formation;BK 2110
152.334;Motor learning;CQ 3000
