sourcenotation;targetnotation
307;MS 1600 - MS 1720
307;MS 1750 - MS 1870
310;MR 2100
310;CM 4000
310;MR 2000 - MR 2950
314;MS 1202 - MS 1230
315;MS 1255
316;MS 1250
317;MS 1235
318;MS 1240
319;MS 1270
320;MA - ML
321;ME
321;MF
321;MG - MI
322;MF 2300 - MF 2950
322;MF 3000 - MF 3390
322;BR 8000 - BR 8400
323;MD 4700
323;MD 4720
323;MD 4600
323;ME 3000 - ME 4900
323;MF 9200
324;MD 8000 - MD 8300
325;MS 1560
325;MS 3550
325;MS 3600
326;NW 8295
326;MS 3200
326;MS 3300 - MS 3800
327;ML
327;ML 1740
328;MF 5700
328;MF 5720
328;MF 575MF 5700
328;MF 5720
328;MF 57500
330;Q
330;MR 3300
331;QV
331;QC 220
332;QL
333;QR 530 - QR 536
333;QS
334;QS 600
334;QQ 700
334;QD 140
334;QP 444
334;MS 5400
335;QD 120
335;MS 4740
335;ME 1000
335;MC 8000 - MC 8080
336;QL 000
336;QL 300
337;QG 000
337;QM 000
337;QQ 460
337;QK 300
338;QP 500 - QP 550
339;QC 300 - QC 347
340;P
341;PR
342;PN
342;PL 320 - PL 550
343;PN 482 - PN 499
343;PE
343;PO 3500
343;PS 3760
343;PT 334
343;PD 6200 - PD 7180
343;PS 3940
343;PP        
344;PF
344;PQ
344;PS 3890
344;PS 3920
344;DR 6200
344;PN 862 - PN 889
344;PN 892 - PN 939
344;PN 849
345;PH
346;PS 3730
346;PD
346;PT
347;PG 450 - PG 475
347;PS 3840
348;MS 6900
348;PC 2100
349;PN 998
349;PL 749
349;PU 4391 - PU 4690
350;MF 7000 - MF 7800
350;MX - MZ
351;MF 7000 - MF 7800
352;MF 7000
353;MF 7000
354;MF 7000
355;MX -MZ
356;MZ
357;MZ
358;MZ 4000 - MZ 4850
359;MZ 5000 - MZ 5850
360;QX 900
360;MS 1818
360;MS 2400
360;MS 2700
360;MF 9200
360;MS 6350 - MS 6470
361;MS 6350 - MS 6470
361;DS 6100
361;DS 6500
362;MS 1900
362;MS 2000
362;MS 2150 - MS 2500
362;MS 6350 - MS 6470
362;MS 6470
362;QX 000
363;MS 6350 - MS 6470
364;PH 8000 - PH 9160
365;MS 6380
366;MD 8480
366;MS 3700
367;MF 2950 - MF 2950
367;PD 3140 - PD 3180
367;MS 3120
367;MS 4650
368;QX 000
368;QQ 600
368;QR 560
369;MF 2300 - MF 2950
369;MF 3120
370;D
371;DK
371;MS 7100
372;DK 3010 - DK 3019
373;DK 5000
374;EC 1460
374;MS 7700
374;DW 1000 - DW 1009
374;DW 1750 - DW 1759
374;DW 1800 - DW 1809
374;QX 870
375;DW 1400 - DW 1409
375;DQ
378;DM
378;AL
378;QX 850
379;DI
379;MF 9300
379;AK 29000
379;QX 800 - QX 870
380;ZO
380;QR
381;Q
382;QM
383;ZO 9200
383;QR 720
383;ZN 6220 - ZN 6240
384;QR 700 - QR 770
385;ZO 5000 - ZO 5599
386;ZO 6080
387;ZO 6000 - ZO 6999
387;ZO 7000 - ZO 7999
387;ZO 8000 - ZO 8900
388;ZO 9000 - ZO 9750
389;ZG 9150
389;ZQ
390;LB 58000 - LB 63730
390;LS 50000 - LS 79800
391;LC 12000 - LC 12695
392;MR 7100
392;LB 43000
392;LB 60000 - LB 60695
393;LB 60000 - LB 60695
393;LC 31000 - LC 31695
393;MS 6300
394;LB 58000 - LB 63730
395;LB 58000 - LB 58695
395;MR 7100 - MR 7400
398;LC 85000 - LC 94730
398;LH 90000 - LH 90260      
399;MK 3500
399;MK 1500
400;E
401;ER 600 - ER 640
401;CC 4600 - CC 4800
402;ES 900 - ES 965
402;ES 970 - ES 985
403;ET 500
