uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345759495,2024-10-22,800513694,4042203-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345760531,2024-10-22,800038144,4043207-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345760841,2024-10-22,800513687,4043774-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134576104X,2024-10-22,800593554,4043271-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761201,2024-10-22,800585945,4075739-0,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761635,2024-10-22,800542906,4044302-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761708,2024-10-22,800364157,4045539-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761775,2024-10-22,800187671,4045791-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134576183X,2024-10-22,800248306,4045956-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761872,2024-10-22,800195111,4046277-8,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345761937,2024-10-22,800456196,4046496-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345780303,2024-10-22,800001554,4046514-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345780443,2024-10-22,800223274,4076226-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345780583,2024-10-22,800371059,4046584-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345780737,2024-10-22,800093906,4120314-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345780834,2024-10-22,800473256,4047689-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781040,2024-10-22,800381599,4047704-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781210,2024-10-22,800386346,4048737-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781318,2024-10-22,800378232,4115712-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781423,2024-10-22,800642907,4049396-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781520,2024-10-22,800106087,4050479-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781687,2024-10-22,800371223,4050939-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345781792,2024-10-22,800642059,4051038-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134578192X,2024-10-22,800207939,4076899-5,=
