sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GF 7525;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7526;Übersetzungen;18.10;Deutsche Literatur
GF 7526;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7527;Sekundärliteratur;18.10;Deutsche Literatur
GF 7530;Gesamtausgaben;18.10;Deutsche Literatur
GF 7530;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7531;Einzelausgaben;18.10;Deutsche Literatur
GF 7531;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7532;Übersetzungen;18.10;Deutsche Literatur
GF 7532;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7533;Sekundärliteratur;18.10;Deutsche Literatur
GF 7540;Gesamtausgaben;18.10;Deutsche Literatur
GF 7540;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7541;Einzelausgaben;18.10;Deutsche Literatur
GF 7541;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7542;Übersetzungen;18.10;Deutsche Literatur
GF 7542;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7543;Sekundärliteratur;18.10;Deutsche Literatur
GF 7549;Gesamtausgaben;18.10;Deutsche Literatur
GF 7549;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7550;Einzelausgaben;18.10;Deutsche Literatur
GF 7550;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7551;Übersetzungen;18.10;Deutsche Literatur
GF 7551;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7552;Sekundärliteratur;18.10;Deutsche Literatur
GF 7562;Gesamtausgaben;18.10;Deutsche Literatur
GF 7562;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7563;Einzelausgaben;18.10;Deutsche Literatur
GF 7563;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7564;Übersetzungen;18.10;Deutsche Literatur
GF 7564;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7565;Sekundärliteratur;18.10;Deutsche Literatur
GF 7588;Gesamtausgaben;18.10;Deutsche Literatur
GF 7588;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7589;Einzelausgaben;18.10;Deutsche Literatur
GF 7589;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7590;Übersetzungen;18.10;Deutsche Literatur
GF 7590;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7591;Sekundärliteratur;18.10;Deutsche Literatur
GF 7604;Gesamtausgaben;18.10;Deutsche Literatur
GF 7604;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7605;Einzelausgaben;18.10;Deutsche Literatur
GF 7605;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7606;Übersetzungen;18.10;Deutsche Literatur
GF 7606;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7607;Sekundärliteratur;18.10;Deutsche Literatur
GF 7610;Primärliteratur;18.10;Deutsche Literatur
GF 7610;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7611;Sekundärliteratur;18.10;Deutsche Literatur
GF 7612;Primärliteratur;18.10;Deutsche Literatur
GF 7612;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7613;Sekundärliteratur;18.10;Deutsche Literatur
GF 7615;Gesamtausgaben;18.10;Deutsche Literatur
GF 7615;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7616;Einzelausgaben;18.10;Deutsche Literatur
GF 7616;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7617;Übersetzungen;18.10;Deutsche Literatur
GF 7617;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7618;Sekundärliteratur;18.10;Deutsche Literatur
GF 7655;Gesamtausgaben;18.10;Deutsche Literatur
GF 7655;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7656;Einzelausgaben;18.10;Deutsche Literatur
GF 7656;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7657;Übersetzungen;18.10;Deutsche Literatur
GF 7657;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7658;Sekundärliteratur;18.10;Deutsche Literatur
GF 7670;Gesamtausgaben;18.10;Deutsche Literatur
GF 7670;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7671;Einzelausgaben;18.10;Deutsche Literatur
GF 7671;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7672;Übersetzungen;18.10;Deutsche Literatur
GF 7672;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7673;Sekundärliteratur;18.10;Deutsche Literatur
GF 7674;Primärliteratur;18.10;Deutsche Literatur
GF 7674;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7675;Sekundärliteratur;18.10;Deutsche Literatur
GF 7676;Primärliteratur;18.10;Deutsche Literatur
GF 7676;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7677;Sekundärliteratur;18.10;Deutsche Literatur
GF 7678;Primärliteratur;18.10;Deutsche Literatur
GF 7678;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7679;Sekundärliteratur;18.10;Deutsche Literatur
GF 7680;Gesamtausgaben;18.10;Deutsche Literatur
GF 7680;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7681;Einzelausgaben;18.10;Deutsche Literatur
GF 7681;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7682;Übersetzungen;18.10;Deutsche Literatur
GF 7682;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7683;Sekundärliteratur;18.10;Deutsche Literatur
GF 7690;Gesamtausgaben;18.10;Deutsche Literatur
GF 7690;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7691;Einzelausgaben;18.10;Deutsche Literatur
GF 7691;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7692;Übersetzungen;18.10;Deutsche Literatur
GF 7692;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7693;Sekundärliteratur;18.10;Deutsche Literatur
