sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GF 4931;Einzelausgaben;18.10;Deutsche Literatur
GF 4931;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 4932;Übersetzungen;18.10;Deutsche Literatur
GF 4932;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 4933;Sekundärliteratur;18.10;Deutsche Literatur
GF 4957;Gesamtausgaben;18.10;Deutsche Literatur
GF 4957;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 4958;Einzelausgaben;18.10;Deutsche Literatur
GF 4958;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 4959;Übersetzungen;18.10;Deutsche Literatur
GF 4959;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 4960;Sekundärliteratur;18.10;Deutsche Literatur
GF 4963;Primärliteratur;18.10;Deutsche Literatur
GF 4963;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 4964;Sekundärliteratur;18.10;Deutsche Literatur
GF 4991;Primärliteratur;18.10;Deutsche Literatur
GF 4991;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 4992;Sekundärliteratur;18.10;Deutsche Literatur
GF 5003;Gesamtausgaben;18.10;Deutsche Literatur
GF 5003;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5004;Einzelausgaben;18.10;Deutsche Literatur
GF 5004;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5005;Übersetzungen;18.10;Deutsche Literatur
GF 5005;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5006;Sekundärliteratur;18.10;Deutsche Literatur
GF 5055;Gesamtausgaben;18.10;Deutsche Literatur
GF 5055;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5056;Einzelausgaben;18.10;Deutsche Literatur
GF 5056;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5057;Übersetzungen;18.10;Deutsche Literatur
GF 5057;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5058;Sekundärliteratur;18.10;Deutsche Literatur
GF 5059;Primärliteratur;18.10;Deutsche Literatur
GF 5059;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5060;Sekundärliteratur;18.10;Deutsche Literatur
GF 5061;Primärliteratur;18.10;Deutsche Literatur
GF 5061;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5062;Sekundärliteratur;18.10;Deutsche Literatur
GF 5101;Gesamtausgaben;18.10;Deutsche Literatur
GF 5101;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5102;Einzelausgaben;18.10;Deutsche Literatur
GF 5102;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5103;Übersetzungen;18.10;Deutsche Literatur
GF 5103;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5104; Allgemeines; Siegfried- und Nibelungensage ;18.10;Deutsche Literatur
GF 5109;Untersuchungen zum Gesamtwerk;18.10;Deutsche Literatur
GF 5111;Untersuchungen zu einzelnen Problemen;18.10;Deutsche Literatur
GF 5115;Gesamtausgaben;18.10;Deutsche Literatur
GF 5115;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5116;Einzelausgaben;18.10;Deutsche Literatur
GF 5116;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5117;Übersetzungen;18.10;Deutsche Literatur
GF 5117;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5118;Sekundärliteratur;18.10;Deutsche Literatur
GF 5120;Primärliteratur;18.10;Deutsche Literatur
GF 5120;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5121;Sekundärliteratur;18.10;Deutsche Literatur
GF 5123;Primärliteratur;18.10;Deutsche Literatur
GF 5123;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5124;Sekundärliteratur;18.10;Deutsche Literatur
GF 5125;Gesamtausgaben;18.10;Deutsche Literatur
GF 5125;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5126;Einzelausgaben;18.10;Deutsche Literatur
GF 5126;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5127;Übersetzungen;18.10;Deutsche Literatur
GF 5127;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5128;Sekundärliteratur;18.10;Deutsche Literatur
GF 5150;Gesamtausgaben;18.10;Deutsche Literatur
GF 5150;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5151;Einzelausgaben;18.10;Deutsche Literatur
GF 5151;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5152;Übersetzungen;18.10;Deutsche Literatur
GF 5152;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5153;Sekundärliteratur;18.10;Deutsche Literatur
GF 5197;Gesamtausgaben;18.10;Deutsche Literatur
GF 5197;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5198;Einzelausgaben;18.10;Deutsche Literatur
GF 5198;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5199;Übersetzungen;18.10;Deutsche Literatur
GF 5199;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5200;Sekundärliteratur;18.10;Deutsche Literatur
GF 5201;Gesamtausgaben;18.10;Deutsche Literatur
GF 5201;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5202;Einzelausgaben;18.10;Deutsche Literatur
GF 5202;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5203;Übersetzungen;18.10;Deutsche Literatur
GF 5203;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5204;Sekundärliteratur;18.10;Deutsche Literatur
GF 5246;Gesamtausgaben;18.10;Deutsche Literatur
GF 5246;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5247;Einzelausgaben;18.10;Deutsche Literatur
GF 5247;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5248;Übersetzungen;18.10;Deutsche Literatur
GF 5248;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5249;Sekundärliteratur;18.10;Deutsche Literatur
GF 5293;Gesamtausgaben;18.10;Deutsche Literatur
GF 5293;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5294;Einzelausgaben;18.10;Deutsche Literatur
GF 5294;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5295;Übersetzungen;18.10;Deutsche Literatur
GF 5295;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5296;Sekundärliteratur;18.10;Deutsche Literatur
GF 5320;Gesamtausgaben;18.10;Deutsche Literatur
GF 5320;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5321;Einzelausgaben;18.10;Deutsche Literatur
GF 5321;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5322;Übersetzungen;18.10;Deutsche Literatur
GF 5322;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5323;Sekundärliteratur;18.10;Deutsche Literatur
GF 5324;Primärliteratur;18.10;Deutsche Literatur
GF 5324;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5325;Sekundärliteratur;18.10;Deutsche Literatur
GF 5341;Gesamtausgaben;18.10;Deutsche Literatur
GF 5341;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5342;Einzelausgaben;18.10;Deutsche Literatur
GF 5342;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5343;Übersetzungen;18.10;Deutsche Literatur
GF 5343;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5344;Sekundärliteratur;18.10;Deutsche Literatur
GF 5346;Gesamtausgaben;18.10;Deutsche Literatur
GF 5346;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5347;Einzelausgaben;18.10;Deutsche Literatur
GF 5347;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5348;Übersetzungen;18.10;Deutsche Literatur
GF 5348;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5349;Sekundärliteratur;18.10;Deutsche Literatur
GF 5386;Gesamtausgaben;18.10;Deutsche Literatur
GF 5386;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5387;Einzelausgaben;18.10;Deutsche Literatur
GF 5387;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5388;Übersetzungen;18.10;Deutsche Literatur
GF 5388;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5389;Sekundärliteratur;18.10;Deutsche Literatur
GF 5390;Gesamtausgaben;18.10;Deutsche Literatur
GF 5390;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5391;Einzelausgaben;18.10;Deutsche Literatur
GF 5391;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5392;Übersetzungen;18.10;Deutsche Literatur
GF 5392;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5393;Sekundärliteratur;18.10;Deutsche Literatur
GF 5394;Gesamtausgaben;18.10;Deutsche Literatur
GF 5394;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5395;Einzelausgaben;18.10;Deutsche Literatur
GF 5395;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5396;Übersetzungen;18.10;Deutsche Literatur
GF 5396;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5397;Sekundärliteratur;18.10;Deutsche Literatur
GF 5405;Gesamtausgaben;18.10;Deutsche Literatur
GF 5405;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5406;Einzelausgaben;18.10;Deutsche Literatur
GF 5406;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5407;Übersetzungen;18.10;Deutsche Literatur
GF 5407;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5408;Sekundärliteratur;18.10;Deutsche Literatur
GF 5415;Gesamtausgaben;18.10;Deutsche Literatur
GF 5415;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5416;Einzelausgaben;18.10;Deutsche Literatur
GF 5416;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5417;Übersetzungen;18.10;Deutsche Literatur
GF 5417;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5418;Sekundärliteratur;18.10;Deutsche Literatur
GF 5419;Primärliteratur;18.10;Deutsche Literatur
GF 5419;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5420;Sekundärliteratur;18.10;Deutsche Literatur
GF 5423;Primärliteratur;18.10;Deutsche Literatur
GF 5423;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5423;Sekundärliteratur;18.10;Deutsche Literatur
GF 5427;Primärliteratur;18.10;Deutsche Literatur
GF 5427;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5428;Sekundärliteratur;18.10;Deutsche Literatur
GF 5429;Primärliteratur;18.10;Deutsche Literatur
GF 5429;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5430;Sekundärliteratur;18.10;Deutsche Literatur
GF 5431;Primärliteratur;18.10;Deutsche Literatur
GF 5431;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5432;Sekundärliteratur;18.10;Deutsche Literatur
GF 5477;Gesamtausgaben;18.10;Deutsche Literatur
GF 5477;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5478;Einzelausgaben;18.10;Deutsche Literatur
GF 5478;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5479;Übersetzungen;18.10;Deutsche Literatur
GF 5479;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5480;Sekundärliteratur;18.10;Deutsche Literatur
GF 5523;Gesamtausgaben;18.10;Deutsche Literatur
GF 5523;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5524;Einzelausgaben;18.10;Deutsche Literatur
GF 5524;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5525;Übersetzungen;18.10;Deutsche Literatur
GF 5525;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5526;Sekundärliteratur;18.10;Deutsche Literatur
GF 5529;Gesamtausgaben;18.10;Deutsche Literatur
GF 5529;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5530;Einzelausgaben;18.10;Deutsche Literatur
GF 5530;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5531;Übersetzungen;18.10;Deutsche Literatur
GF 5531;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5532;Sekundärliteratur;18.10;Deutsche Literatur
GF 5533;Gesamtausgaben;18.10;Deutsche Literatur
GF 5533;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5534;Einzelausgaben;18.10;Deutsche Literatur
GF 5534;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5535;Übersetzungen;18.10;Deutsche Literatur
GF 5535;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5536;Sekundärliteratur;18.10;Deutsche Literatur
GF 5537;Gesamtausgaben;18.10;Deutsche Literatur
GF 5537;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5538;Einzelausgaben;18.10;Deutsche Literatur
GF 5538;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5539;Übersetzungen;18.10;Deutsche Literatur
GF 5539;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5540;Sekundärliteratur;18.10;Deutsche Literatur
GF 5614;Gesamtausgaben;18.10;Deutsche Literatur
GF 5614;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5615;Einzelausgaben;18.10;Deutsche Literatur
GF 5615;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5616;Übersetzungen;18.10;Deutsche Literatur
GF 5616;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5617;Sekundärliteratur;18.10;Deutsche Literatur
GF 5618;Gesamtausgaben;18.10;Deutsche Literatur
GF 5618;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5619;Einzelausgaben;18.10;Deutsche Literatur
GF 5619;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5620;Übersetzungen;18.10;Deutsche Literatur
GF 5620;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5621;Sekundärliteratur;18.10;Deutsche Literatur
GF 5622;Gesamtausgaben;18.10;Deutsche Literatur
GF 5622;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5623;Einzelausgaben;18.10;Deutsche Literatur
GF 5623;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5624;Übersetzungen;18.10;Deutsche Literatur
GF 5624;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5625;Sekundärliteratur;18.10;Deutsche Literatur
GF 5661;Gesamtausgaben;18.10;Deutsche Literatur
GF 5661;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5662;Einzelausgaben;18.10;Deutsche Literatur
GF 5662;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5663;Übersetzungen;18.10;Deutsche Literatur
GF 5663;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5664;Sekundärliteratur;18.10;Deutsche Literatur
GF 5680;Gesamtausgaben;18.10;Deutsche Literatur
GF 5680;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5681;Einzelausgaben;18.10;Deutsche Literatur
GF 5681;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5682;Übersetzungen;18.10;Deutsche Literatur
GF 5682;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5683;Sekundärliteratur;18.10;Deutsche Literatur
GF 5706;Gesamtausgaben;18.10;Deutsche Literatur
GF 5706;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5707;Einzelausgaben;18.10;Deutsche Literatur
GF 5707;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5708;Übersetzungen;18.10;Deutsche Literatur
GF 5708;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5709;Sekundärliteratur;18.10;Deutsche Literatur
GF 5752;Gesamtausgaben;18.10;Deutsche Literatur
GF 5752;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5753;Einzelausgaben;18.10;Deutsche Literatur
GF 5753;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5754;Übersetzungen;18.10;Deutsche Literatur
GF 5754;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5755;Sekundärliteratur;18.10;Deutsche Literatur
GF 5799;Gesamtausgaben;18.10;Deutsche Literatur
GF 5799;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5800;Einzelausgaben;18.10;Deutsche Literatur
GF 5800;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5801;Übersetzungen;18.10;Deutsche Literatur
GF 5801;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5802;Sekundärliteratur;18.10;Deutsche Literatur
GF 5830;Gesamtausgaben;18.10;Deutsche Literatur
GF 5830;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5831;Einzelausgaben;18.10;Deutsche Literatur
GF 5831;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5832;Übersetzungen;18.10;Deutsche Literatur
GF 5832;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5833;Sekundärliteratur;18.10;Deutsche Literatur
GF 5840;Primärliteratur;18.10;Deutsche Literatur
GF 5840;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 5841;Sekundärliteratur;18.10;Deutsche Literatur
GF 5845;Gesamtausgaben;18.10;Deutsche Literatur
GF 5845;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5846;Einzelausgaben;18.10;Deutsche Literatur
GF 5846;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5847;Übersetzungen;18.10;Deutsche Literatur
GF 5847;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5848;Sekundärliteratur;18.10;Deutsche Literatur
GF 5895;Gesamtausgaben;18.10;Deutsche Literatur
GF 5895;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5896;Einzelausgaben;18.10;Deutsche Literatur
GF 5896;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5897;Übersetzungen;18.10;Deutsche Literatur
GF 5897;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5898;Allgemeines;18.10;Deutsche Literatur
GF 5899;Untersuchungen zu einzelnen Gedichten und Probleme;18.10;Deutsche Literatur
GF 5900;<<Die>> Warnung;18.10;Deutsche Literatur
GF 5900;<<Die>> Warnung;17.97;Texte eines einzelnen Autors
GF 5901;Wartburgkrieg;18.10;Deutsche Literatur
GF 5901;Wartburgkrieg;17.97;Texte eines einzelnen Autors
GF 5902;Gesamtausgaben;18.10;Deutsche Literatur
GF 5902;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5903;Einzelausgaben;18.10;Deutsche Literatur
GF 5903;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5904;Übersetzungen;18.10;Deutsche Literatur
GF 5904;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5905;Sekundärliteratur;18.10;Deutsche Literatur
GF 5909;Gesamtausgaben;18.10;Deutsche Literatur
GF 5909;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5910;Einzelausgaben;18.10;Deutsche Literatur
GF 5910;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5911;Übersetzungen;18.10;Deutsche Literatur
GF 5911;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5912;Sekundärliteratur;18.10;Deutsche Literatur
GF 5947;Gesamtausgaben;18.10;Deutsche Literatur
GF 5947;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5948;Einzelausgaben;18.10;Deutsche Literatur
GF 5948;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5949;Übersetzungen;18.10;Deutsche Literatur
GF 5949;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5950;Sekundärliteratur;18.10;Deutsche Literatur
GF 5956;Gesamtausgaben;18.10;Deutsche Literatur
GF 5956;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5957;Einzelausgaben;18.10;Deutsche Literatur
GF 5957;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5958;Übersetzungen;18.10;Deutsche Literatur
GF 5958;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5959;Sekundärliteratur;18.10;Deutsche Literatur
GF 5961;Gesamtausgaben;18.10;Deutsche Literatur
GF 5961;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5962;Einzelausgaben;18.10;Deutsche Literatur
GF 5962;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5963;Übersetzungen;18.10;Deutsche Literatur
GF 5963;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5964;Sekundärliteratur;18.10;Deutsche Literatur
GF 5965;Gesamtausgaben;18.10;Deutsche Literatur
GF 5965;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5966;Einzelausgaben;18.10;Deutsche Literatur
GF 5966;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5967;Übersetzungen;18.10;Deutsche Literatur
GF 5967;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5968;Sekundärliteratur;18.10;Deutsche Literatur
GF 5970;Gesamtausgaben;18.10;Deutsche Literatur
GF 5970;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5971;Einzelausgaben;18.10;Deutsche Literatur
GF 5971;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5972;Übersetzungen;18.10;Deutsche Literatur
GF 5972;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5973;Sekundärliteratur;18.10;Deutsche Literatur
GF 5980;Gesamtausgaben;18.10;Deutsche Literatur
GF 5980;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5981;Einzelausgaben;18.10;Deutsche Literatur
GF 5981;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5982;Übersetzungen;18.10;Deutsche Literatur
GF 5982;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5983;Sekundärliteratur;18.10;Deutsche Literatur
GF 5994;Gesamtausgaben;18.10;Deutsche Literatur
GF 5994;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 5995;Einzelausgaben;18.10;Deutsche Literatur
GF 5995;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 5996;Übersetzungen;18.10;Deutsche Literatur
GF 5996;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 5997;Sekundärliteratur;18.10;Deutsche Literatur
GF 6041;Gesamtausgaben;18.10;Deutsche Literatur
GF 6041;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6042;Einzelausgaben;18.10;Deutsche Literatur
GF 6042;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6043;Übersetzungen;18.10;Deutsche Literatur
GF 6043;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6044;Allgemeines;18.10;Deutsche Literatur
GF 6046;Untersuchungen zum Gesamtwerk;18.10;Deutsche Literatur
GF 6051;Lieder;18.10;Deutsche Literatur
GF 6061;Parzival;18.10;Deutsche Literatur
GF 6071;Titurel;18.10;Deutsche Literatur
GF 6081;Willehalm;18.10;Deutsche Literatur
GF 6090;Untersuchungen zu einzelnen Problemen;18.10;Deutsche Literatur
GF 6201;Allgemeines;18.10;Deutsche Literatur
GF 6201;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GF 6342;Allgemeines;18.10;Deutsche Literatur
GF 6342;Allgemeines;17.70;Literaturwissenschaft: Allgemeines
GF 6345;Allgemeines;18.10;Deutsche Literatur
GF 6345;Allgemeines;17.73;Literaturtheorie: Allgemeines
GF 6360;Stilforschung;18.10;Deutsche Literatur
GF 6360;Stilforschung;17.77; Stilistik; Rhetorik <Literaturwissenschaft> 
GF 6365;Stilarten;18.10;Deutsche Literatur
GF 6365;Stilarten;17.77; Stilistik; Rhetorik <Literaturwissenschaft> 
GF 6370;Gattungsprobleme;18.10;Deutsche Literatur
GF 6370;Gattungsprobleme;17.80;Literarische Gattungen: Allgemeines
GF 6375;Allgemeines und Regionale Darstellungen;18.10;Deutsche Literatur
GF 6375;Allgemeines und Regionale Darstellungen;17.71;Literaturgeschichte
GF 6376;Geistes- und Ideengeschichte;18.10;Deutsche Literatur
GF 6376;Geistes- und Ideengeschichte;17.71;Literaturgeschichte
GF 6377;Stoff- und Motivgeschichte;18.10;Deutsche Literatur
GF 6377;Stoff- und Motivgeschichte;17.71;Literaturgeschichte
GF 6377a;Geschichte der Gattungen;18.10;Deutsche Literatur
GF 6377a;Geschichte der Gattungen;17.80;Literarische Gattungen: Allgemeines
GF 6378;Allgemeines;18.10;Deutsche Literatur
GF 6378;Allgemeines;17.71;Literaturgeschichte
GF 6379;Allgemeines;18.10;Deutsche Literatur
GF 6379;Allgemeines;17.83;Lyrik
GF 6380;Allgemeine Textsammlungen;18.10;Deutsche Literatur
GF 6380;Allgemeine Textsammlungen;17.83;Lyrik
GF 6380;Allgemeine Textsammlungen;17.98;Textsammlungen
GF 6381;Minnesang. Minneallegorie (Texte);18.10;Deutsche Literatur
GF 6381;Minnesang. Minneallegorie (Texte);17.97;Texte eines einzelnen Autors
GF 6381;Minnesang. Minneallegorie (Texte);17.98;Textsammlungen
GF 6382;Sekundärliteratur;18.10;Deutsche Literatur
GF 6382;Sekundärliteratur;17.98;Textsammlungen
GF 6384;Spruchdichtung (Texte);18.10;Deutsche Literatur
GF 6384;Spruchdichtung (Texte);17.97;Texte eines einzelnen Autors
GF 6384;Spruchdichtung (Texte);17.98;Textsammlungen
GF 6385;Sekundärliteratur;18.10;Deutsche Literatur
GF 6387;Meistersang (Texte);18.10;Deutsche Literatur
GF 6387;Meistersang (Texte);17.97;Texte eines einzelnen Autors
GF 6387;Meistersang (Texte);17.98;Textsammlungen
GF 6388;Sekundärliteratur;18.10;Deutsche Literatur
GF 6391;Geistliche Lyrik (Texte);18.10;Deutsche Literatur
GF 6391;Geistliche Lyrik (Texte);17.97;Texte eines einzelnen Autors
GF 6391;Geistliche Lyrik (Texte);17.98;Textsammlungen
GF 6392;Sekundärliteratur;18.10;Deutsche Literatur
GF 6393;Volkslied, Volksballade (Texte und Melodie);18.10;Deutsche Literatur
GF 6393;Volkslied, Volksballade (Texte und Melodie);17.97;Texte eines einzelnen Autors
GF 6393;Volkslied, Volksballade (Texte und Melodie);17.98;Textsammlungen
GF 6394;Sekundärliteratur;18.10;Deutsche Literatur
GF 6401;Sonstiges (Texte und Sekundärliteratur);18.10;Deutsche Literatur
GF 6428;Darstellungen;18.10;Deutsche Literatur
GF 6428;Darstellungen;17.82;Dramatik
GF 6429;Texte;18.10;Deutsche Literatur
GF 6429;Texte;17.97;Texte eines einzelnen Autors
GF 6429;Texte;17.98;Textsammlungen
GF 6431;Texte;18.10;Deutsche Literatur
GF 6431;Texte;17.97;Texte eines einzelnen Autors
GF 6431;Texte;17.98;Textsammlungen
GF 6432;Sekundärliteratur;18.10;Deutsche Literatur
GF 6433;Weihnachtsfestkreis (Hirtenspiel, Dreikönigsspiel u.a.) (Texte);18.10;Deutsche Literatur
GF 6433;Weihnachtsfestkreis (Hirtenspiel, Dreikönigsspiel u.a.) (Texte);17.97;Texte eines einzelnen Autors
GF 6433;Weihnachtsfestkreis (Hirtenspiel, Dreikönigsspiel u.a.) (Texte);17.98;Textsammlungen
GF 6434; Osterfestkreis (Osterspiel; Frohnleichnamsspiel Passionsspiel; Marienklage u.a.) (Texte) ;18.10;Deutsche Literatur
GF 6434; Osterfestkreis (Osterspiel; Frohnleichnamsspiel Passionsspiel; Marienklage u.a.) (Texte) ;17.97;Texte eines einzelnen Autors
GF 6434; Osterfestkreis (Osterspiel; Frohnleichnamsspiel Passionsspiel; Marienklage u.a.) (Texte) ;17.98;Textsammlungen
GF 6435;Sekundärliteratur zum Drama der Festkreise;18.10;Deutsche Literatur
GF 6437;Sonstige Spiele (Legendenspiel, Weltgerichtsspiel u.a.) (Texte);18.10;Deutsche Literatur
GF 6437;Sonstige Spiele (Legendenspiel, Weltgerichtsspiel u.a.) (Texte);17.97;Texte eines einzelnen Autors
