sourcenotation;targetnotation;type
4031031-0;sh85123568;close
4077571-9;sh85123921;close
4696474-5;sh85123964;close
4055879-4;sh85123985;close
4055916-6;sh85124003;close
4055732-7;sh85124036;close
4055785-6;sh85124118;close
4062714-7;sh85124175;close
4201989-8;sh85124175;close
4077623-2;sh85124195;close
4077624-4;sh85124200;close
4056293-1;sh85126775;close
4056366-2;sh85126887;close
4056618-3;sh85127474;close
4056995-0;sh85127580;close
4056995-0;sh85127580;close
4134078-4;sh85127607;close
4057910-4;sh85128591;close
4279385-3;sh85128633;close
4009987-8;sh85130766;close
4005227-8;sh85130875;close
4184194-3;sh85131408;close
4128070-2;sh85131626;close
4057399-0;sh85132846;close
4116614-0;sh85132851;close
4062005-0;sh85133052;close
4044302-4;sh85133052;close
4059205-4;sh87003681;close
4027089-0;sh85133143;close
4059276-5;sh85133147;close
4130207-2;sh85133270;close
4059360-5;sh85133270;close
4016825-6;sh85133456;close
4016825-6;sh85133500;close
4076108-3;sh85134037;close
4059758-1;sh85134665;close
4059798-2;sh85134723;close
4112639-7;sh85134729;close
4021716-4;sh85135935;close
4018406-7;sh85136255;close
4060538-3;sh85136331;close
4060680-6;sh85137027;close
4049275-8;sh85137149;close
4047577-3;sh85137328;close
4139832-4;sh85137328;close
4002730-2;sh85139643;close
4061778-6;sh85141086;close
4073648-9;sh85141322;close
4063234-9;sh85141338;close
4006340-9;sh85141927;close
4065654-8;sh85141939;close
4063516-8;sh85143277;close
4065136-8;sh85144017;close
4005878-5;sh85144186;close
4049275-8;sh85144443;close
4065133-2;sh85146975;close
4189467-4;sh85146975;close
4340869-2;sh85146993;close
4018202-2;sh85147274;close
4258697-5;sh85147456;close
4113617-2;sh85147587;close
4002567-6;sh85148133;close
4002641-3;sh85148146;close
4068799-5;sh85073639;close
4079158-0;sh85148201;close
4079163-4;sh85148236;close
4079167-1;sh85148273;close
4028859-6;sh85149310;close
4193654-1;sh85108430;close
4331068-0;sh85003617;close
4198578-3;sh85003617;close
4146108-3;sh85013895;close
4176711-1;sh85013895;close
4048241-8;sh85013899;close
4183593-1;sh85013899;close
4189525-3;sh85016994;close
4156390-6;sh90004401;close
4048155-4;sh85035070;close
4125280-9;sh85035070;close
4176779-2;sh85035075;close
4504946-4;sh85035075;close
4579726-2;sh97006748;close
4190571-4;sh85036170;close
4150193-7;sh85038406;close
4579727-4;sh85038575;close
4189259-8;sh85038594;close
4158964-6;sh85058573;close
4160759-4;sh85063165;close
4452871-1;sh85131222;close
4578214-3;sh85065787;close
4130193-6;sh85069800;close
4070246-7;sh85070599;close
4037441-5;sh85080932;close
4580939-2;sh90005100;close
4159900-7;sh85093755;close
4136467-3;sh90004400;close
4155588-0;sh85099622;close
4182800-8;sh85112507;close
4579728-6;sh85115856;close
4034541-5;sh2008001261;close
4034719-9;sh85115858;close
4034542-7;sh85115858;close
4034719-9;sh85115866;close
4578460-7;sh86007046;close
4165935-1;sh85122085;close
4374060-1;sh85127010;close
4374051-0;sh85127010;close
4166247-7;sh85127031;close
4188278-7;sh85127031;close
4191233-0;sh85127031;close
4177917-4;sh85130883;close
4180549-5;sh85131205;close
4470404-5;sh85131205;close
4053985-4;sh85131207;close
4077290-1;sh85131207;close
4178634-8;sh85131208;close
4146765-6;sh85131209;close
4149046-0;sh85131210;close
4165541-2;sh85131211;close
4580940-9;sh85131217;close
4185110-9;sh85131219;close
4580941-0;sh93004862;close
4164146-2;sh85131223;close
4178900-3;sh85131225;close
4184233-9;sh85131610;close
4123625-7;sh85136442;close
4035163-4;sh85136443;close
4579730-4;sh93010608;close
4124327-4;sh85137414;close
4150671-6;sh85137898;close
4056685-7;sh85142425;close
4156320-7;sh85144901;close
4064699-3;sh85145594;close
4128991-2;sh85145960;close
4580954-9;sh97005214;close
4579729-8;sh97003632;close
4196816-5;sh97003632;close
4395288-4;sh85147726;close
4039717-8;sh85115858;close
4061963-1;sh85032928;close
4041300-7;sh85090150;close
4028911-4;sh85149268;close
4015434-8;sh85046420;close
4015335-6;sh85093469;close
4069674-1;sh85008860;close
4053309-8;sh85092863;close
4015106-2;sh87001834;close
4077197-0;sh85118295;close
4073409-2;sh85023598;close
4077747-9;sh85126441;close
4057700-4;sh85084014;close
4449808-1;sh85067232;close
4131336-7;sh85133169;close
4126073-9;sh98003132;close
4147562-8;sh85022540;close
4002805-7;sh85148146;close
4064016-4;sh85041072;close
4063635-5;sh85144006;close
4121625-8;sh94007597;close
4030581-8;sh85093344;close
4070955-3;sh85041014;close
4114056-4;sh85068806;close
4035811-2;sh85003441;close
4187413-4;sh85004782;close
4042805-9;sh85093237;close
4139408-2;sh85014235;close
4153837-7;sh85044724;close
4009754-7;sh85022562;close
4077850-2;sh85127565;close
4164746-4;sh85028802;close
4002919-0;sh85007163;close
4156714-6;sh85054129;close
4020236-7;sh85054133;close
4012252-9;sh85018803;close
4027232-1;sh85018804;close
4068050-2;sh85022484;close
4479212-8;sh85018805;close
4164613-7;sh85027792;close
4012249-9;sh85037890;close
4056243-8;sh85052941;close
4037951-6;sh85003435;close
4066472-7;sh85040869;close
4037856-1;sh85083608;close
4128698-4;sh85093211;close
4037952-8;sh85082129;close
4144220-9;sh85012506;close
4056995-0;sh85082133;close
4116673-5;sh85131733;close
4071510-3;sh85052327;close
4128330-2;sh85054144;close
4113782-6;sh85056471;close
4037968-1;sh85082210;close
4067271-2;sh85093229;close
4049197-3;sh85120237;close
4017790-7;sh85120145;close
4060425-1;sh85136089;close
4060888-8;sh85137519;close
4073781-0;sh85019492;close
4196468-8;sh85004151;close
4035646-2;sh85078519;close
4138115-4;sh85078525;close
4001967-6;sh85004920;close
4002053-8;sh85005835;close
4128011-8;sh85000155;close
4015969-3;sh85046375;close
4004711-8;sh85000091;close
4077748-0;sh85126441;close
4062809-7;sh85048224;close
4000589-6;sh85001295;close
4120645-9;sh85074167;close
4069484-7;sh85095504;close
4156261-6;sh85050244;close
4161095-7;sh85003662;close
4068576-7;sh85077482;close
4005694-6;sh85087816;close
4036689-3;sh85004598;close
4043590-8;sh85095014;close
4001847-7;sh85004763;close
4001848-9;sh85004764;close
4044894-0;sh85004844;close
4398816-7;sh85004834;close
4001833-7;sh85004952;close
4412816-2;sh85004960;close
4002030-7;sh85005025;close
4185478-0;sh85005183;close
4237631-2;sh85046565;close
4023819-2;sh85038908;close
4317292-1;sh85100482;close
4135893-4;sh85047811;close
4056212-8;sh85122842;close
4112555-1;sh85006210;close
4002511-1;sh85145673;close
4002518-4;sh85006225;close
4172332-6;sh85052186;close
4057974-8;sh85122148;close
4002844-6;sh85006565;close
4362670-1;sh85006804;close
4132307-5;sh85128407;close
4152857-8;sh85044668;close
4021656-1;sh85007682;close
4124930-6;sh85007868;close
4050482-7;sh85007873;close
4048574-2;sh85008947;close
4003423-9;sh85009333;close
4143377-4;sh85141521;close
4225124-2;sh85010285;close
4032671-8;sh85010249;close
4054394-8;sh85119780;close
4017672-1;sh85002782;close
4039316-1;sh85002934;close
4053732-8;sh85000196;close
4204383-9;sh85011450;close
4011119-2;sh85035856;close
4258426-7;sh85012010;close
4151469-5;sh85145749;close
4113295-6;sh85054426;close
4124906-9;sh85129679;close
4132773-1;sh85076678;close
4022600-1;sh85055872;close
4052945-9;sh85070195;close
4006777-4;sh85014171;close
4006801-8;sh85014147;close
4169246-9;sh85081138;close
4039983-7;sh85086577;close
4435195-1;sh85125916;close
4117709-5;sh85149720;close
4112850-3;sh85017926;close
4260561-1;sh85012815;close
4120162-0;sh85016753;close
4146676-7;sh85017143;close
4166427-9;sh85092188;close
4073157-1;sh85018606;close
4055589-6;sh85130534;close
4283492-2;sh87004396;close
4034649-3;sh85138148;close
4127083-6;sh85019497;close
4032913-6;sh85019519;close
4232470-1;sh85020532;close
4163418-4;sh85020816;close
4029919-3;sh85020940;close
4191789-3;sh85021701;close
4190732-2;sh85021937;close
4165260-5;sh85021974;close
4050708-7;sh85112052;close
4052062-6;sh85121085;close
4138966-9;sh85022443;close
4046076-9;sh85052433;close
4046076-9;sh85088751;close
4046075-7;sh85088749;close
4127915-3;sh85052464;close
4124099-6;sh85122826;close
4029595-3;sh85019967;close
4125480-6;sh85082970;close
4344515-9;sh85059823;close
4137119-7;sh85059822;close
4333190-7;sh89005064;close
4128660-1;sh85055494;close
4049077-4;sh85114827;close
4198238-1;sh97004450;close
4391645-4;sh85145444;close
4607740-6;sh85104226;close
4129906-1;sh85023011;close
4075695-6;sh85023025;close
4075710-9;sh85095812;close
4010034-0;sh85024654;close
4154386-5;sh85088093;close
4140881-0;sh85088085;close
4160024-1;sh85088131;close
4197163-2;sh85067117;close
4067878-7;sh85026080;close
4030967-8;sh85026714;close
4031147-8;sh85026944;close
4113898-3;sh85059746;close
4018636-2;sh85058329;close
4167247-1;sh85055373;close
4019589-2;sh85023401;close
4028921-7;sh85000968;close
4385650-0;sh85016717;close
4131714-2;sh85047919;close
4008650-1;sh85064332;close
4070087-2;sh85029483;close
4133537-5;sh85027065;close
4246408-0;sh85044242;close
4152511-5;sh96001809;close
4152860-8;sh85044672;close
4125385-1;sh85114656;close
7789965-9;sh85123718;close
4018319-1;sh85094892;close
4024379-5;sh85127284;close
4205990-2;sh85038413;close
4000646-3;sh85038413;close
4183153-6;sh85127451;close
4121232-0;sh85046376;close
4038649-1;sh85062870;close
4387226-8;sh85084471;close
4067043-0;sh85037166;close
4127475-1;sh85099340;close
4068827-6;sh85006587;close
4165988-0;sh85034760;close
4012398-4;sh85036481;close
4011146-5;sh85035862;close
4113355-9;sh85019119;close
4129378-2;sh85005172;close
4282537-4;sh85050575;close
4145460-1;sh85040992;close
4014241-3;sh85042105;close
4136415-6;sh85043075;close
4364722-4;sh85023473;close
4121810-3;sh85044206;close
4015035-5;sh85044401;close
4147642-6;sh85022910;close
4189606-3;sh85096156;close
4127887-2;sh85100507;close
4127833-1;sh85045421;close
4424780-1;sh85123940;close
4127928-1;sh85046877;close
4026212-1;sh85063084;close
4064423-6;sh85050576;close
4038330-1;sh85081169;close
4166027-4;sh85007484;close
4113623-8;sh85147597;close
4113617-2;sh85147554;close
4071199-7;sh85048042;close
4182966-9;sh85048176;close
4036871-3;sh85055012;close
4054023-6;sh85118660;close
4122416-4;sh85146677;close
4026302-2;sh85049376;close
4125129-5;sh85052322;close
4154975-2;sh85050443;close
4014692-3;sh85050452;close
4131965-5;sh85111193;close
4152920-0;sh85001039;close
4155493-0;sh85052080;close
4156433-9;sh85115589;close
4611904-8;sh85054020;close
4134754-7;sh85056272;close
4076453-9;sh85056323;close
4026658-8;sh85137008;close
4180321-8;sh85106287;close
4071601-6;sh85053492;close
4130419-6;sh85111467;close
4052949-6;sh85053712;close
4072653-8;sh85062875;close
4039987-4;sh85086586;close
4020555-1;sh85053822;close
4125148-9;sh85053842;close
4056463-0;sh85077216;close
4038316-7;sh85129495;close
4130684-3;sh85054165;close
4071745-8;sh85054315;close
4066089-8;sh85052920;close
4205614-7;sh85055077;close
7661742-7;sh85055090;close
4157911-2;sh85055839;close
4824298-6;sh85135056;close
4021764-4;sh85056515;close
4113707-3;sh85053821;close
4130378-7;sh85056417;close
4113791-7;sh85057151;close
4120260-0;sh85057165;close
4120278-8;sh85057166;close
4021205-1;sh85126755;close
4022649-9;sh85058059;close
4018225-3;sh85058092;close
4185899-2;sh85136927;close
4120490-6;sh85129425;close
4187723-8;sh85004837;close
4727540-6;sh85004857;close
4029031-1;sh85005258;close
4151803-2;sh85041575;close
4127635-8;sh85042254;close
4120975-8;sh85006587;close
4508917-6;sh85123297;close
4003475-6;sh85009472;close
4003984-5;sh85010353;close
4064438-8;sh85146357;close
4132770-6;sh85076695;close
4146441-2;sh85016301;close
4151926-7;sh85042352;close
4120567-4;sh85063599;close
4041387-1;sh85090214;close
4033095-3;sh85127560;close
4045515-4;sh85062163;close
4126166-5;sh85130718;close
4070000-8;sh85025283;close
4154353-1;sh85088107;close
4066363-2;sh85126694;close
4062656-8;sh85028831;close
4031833-3;sh85028854;close
4032009-1;sh85029386;close
4256141-3;sh85019620;close
4004744-1;sh85129194;close
4178853-9;sh85010971;close
4032522-2;sh85033050;close
4120774-9;sh85088900;close
4125294-9;sh85042285;close
4032012-1;sh85029401;close
4165001-3;sh85030642;close
4148266-9;sh85030645;close
4139783-6;sh85030823;close
4037667-9;sh85069302;close
4066615-3;sh85072731;close
4114277-9;sh85050233;close
4004945-0;sh85017740;close
4032288-9;sh85031548;close
