sourcenotation;targetnotation;type
2081901-8;2--434149;broad
2082627-8;2--4355128;broad
2083346-5;2--4359174;broad
2084013-5;2--435954;broad
2084375-6;2--4351224;broad
2088764-4;2--431827;broad
2088775-9;2--431531;broad
2089480-6;2--431547;broad
2089497-1;2--435978;broad
2093764-7;2--494542;broad
2095793-2;2--4945416;broad
2096760-3;2--4945665;broad
2097952-6;2--4945497;broad
2098787-0;2--4341665;broad
2099640-8;2--431512;broad
2101809-1;2--435652;broad
2104545-8;2--43222;broad
2105571-3;2--432229;broad
2105801-5;2--4359757;broad
2106325-4;2--4341615;broad
2106448-9;2--431867;broad
2106842-2;2--4341665;broad
2108195-5;2--431547;broad
2108342-3;2--431867;broad
2108462-2;2--432221;broad
2111111-X;2--434323;broad
2111823-1;2--4359176;broad
2113466-2;2--4359176;broad
2113472-8;2--4359176;broad
2116257-8;2--4346414;broad
2116291-8;2--4341665;broad
2116550-6;2--432148;broad
2120295-3;2--43714;broad
2120581-4;2--43364;broad
2120740-9;2--43427;broad
2121855-9;2--43364;broad
2122944-2;2--4346248;broad
2124652-X;2--4945245;broad
2125777-2;2--4947356;broad
2128177-4;2--43354;broad
2128832-X;2--432125;broad
2129096-9;2--435514;broad
2129580-3;2--431534;broad
2129983-3;2--4341615;broad
2131368-4;2--435973;broad
2131769-0;2--4341615;broad
2133046-3;2--4355163;broad
3001043-3;2--434127;broad
3001770-1;2--667;broad
3003025-0;2--435937;broad
3003888-1;2--4356386;broad
3008091-5;2--434127;broad
3009952-3;2--434127;broad
3013247-2;2--4341615;broad
3016949-5;2--4318213;broad
3016950-1;2--431841;broad
3017347-4;2--434129;broad
3018077-6;2--434129;broad
3018268-2;2--9614;broad
4000002-3;621.381537;broad
4000003-5;2--435511;exact
4000005-9;2--4355122;exact
4000007-2;2--435511;broad
4000015-1;2--4347193;broad
4000018-7;2--49456284;exact
4000022-9;2--49456;exact
4000030-8;513.0284;close
4000044-8;511.326;broad
4000056-4;623.4516;broad
4000056-4;358.3;close
4000056-4;327.1745;broad
4000065-5;693.893;broad
4000065-5;621.885;related
4000066-7;691.99;broad
4000066-7;624.1899;related
4000066-7;668.38;broad
4000081-3;234.163;close
4000081-3;264.3;broad
4000081-3;264.36;close
4000089-8;3B--3087;broad
4000089-8;808.8387;related
4000089-8;809.387;broad
4000096-5;001.96;close
4000098-9;363.728;close
4000098-9;628.44;broad
4000098-9;623.754;related
4000100-3;363.728;close
4000100-3;363.17;related
4000100-3;353.93;broad
4000100-3;629.4774;related
4000100-3;658.567;broad
4000105-2;628.4457;broad
4000107-6;363.728;broad
4000110-6;344.012166;broad
4000114-3;551.488;close
4000114-3;628.21;broad
4000114-3;628.16846;related
4000120-9;336.2;broad
4000121-0;343.036;close
4000123-4;363.7387;close
4000124-6;629.2528;broad
4000125-8;628.532;broad
4000135-0;328.33;close
4000149-0;621.38928;broad
4000154-4;331.11443;broad
4000154-4;378.1662;related
4000158-1;411;broad
4000158-1;1--0148;close
4000170-2;628.53;broad
4000170-2;697;related
4000197-0;327.174;close
4000197-0;201.7273;broad
4000201-9;658.818;related
4000217-2;660.2842;broad
4000230-5;355.0217;broad
4000231-7;612.492;broad
4000232-9;343.05234;broad
4000242-1;111.6;broad
4000243-3;321.6;close
4000243-3;944.033;related
4000273-1;255.0023;close
4000287-1;2--5357;broad
4000301-2;333.793;broad
4000302-4;628.1;broad
4000302-4;363.728493;close
4000306-1;628.36;close
4000306-1;363.7284;broad
4000311-5;628.2;broad
4000313-9;628.3;broad
4000313-9;628.742;related
4000317-6;150.195;broad
4000320-6;302.542;close
4000338-3;2--667;broad
4000345-0;547.413;close
4000345-0;661.814;broad
4000345-0;665.85;close
4000351-6;615.3137;close
4000351-6;615.783;broad
4000362-0;2--4346268;broad
4000395-4;630;close
