fromNotation;x;y;z;toNotation
WC 4170;100;1;100;572.633
WC 4200;100;1;100;571.74
WC 4350;100;2;50;572.7
WC 4370;100;2;25;572.0724
WC 4400 - WC 4460;50;4;50;660.6
WC 4400;50;4;50;660.6
WC 4420;50;4;50;576.5
WC 4440;100;2;50;572.8
WC 4460;100;2;50;572.8
WC 4500;50;4;50;580.724
WC 4500;50;4;50;580.28
WC 4550;50;4;50;580.78
WC 4900;50;4;50;590.724
WC 4900;50;4;50;590.28
WC 4950;50;4;50;590.78
WC 5050;50;4;50;571.41
WC 5050;50;4;50;571.86
WC 5100;50;4;50;571.6
WC 5150;25;4;25;571
WC 5150;25;4;50;572.437
WC 5300;25;4;25;577
WC 5320;;;;
WC 5350;25;4;25;577.857
WC 5400;25;4;25;577.6
WC 5450;50;4;50;577.27
WC 5450;25;4;25;639.9
WC 5500;50;4;50;577.22
WC 5550;;;;
WC 5700;100;2;50;579.028
WC 5700;50;4;50;660.62
WC 5800;100;2;15;570.28
WC 6000 - WC 6570;50;4;50;590.73
WC 6000;50;4;50;590.73
WC 6140;;;;
WC 6150;50;4;50;597.073
WC 6160;50;4;50;597.177073
WC 6180;100;2;25;590.73
WC 6200;100;2;25;590.73
WC 6300;100;1;100;590.724
WC 6300;50;4;50;616.027
WC 6300;50;4;50;636.0885
WC 6320;100;1;100;592.0724
WC 6340;100;1;100;595.70724
WC 6350 - WC 6570;100;1;100;596.0724
WC 6350;100;2;50;596.0724
WC 6360;100;1;100;597.0724
WC 6380;100;1;100;597.80724
WC 6400;100;1;100;597.90724
WC 6420;100;1;100;598.0724
WC 6440;100;1;100;599.0724
WC 6440;25;4;50;616.0273
WC 6470;100;1;100;599.80724
WC 6470;25;4;50;616.02738
WC 6490;100;1;100;599.70724
WC 6490;25;4;25;616.0273
WC 6510;100;1;100;599.630724
WC 6510;25;4;25;616.0273
WC 6530;100;2;50;599.630724
WC 6530;25;4;25;616.0273
WC 6550;100;1;100;599.660724
WC 6550;25;4;25;616.0273
WC 6570;100;1;100;599.350724
WC 6570;25;4;50;616.02733
WC 7000;100;1;100;570.151
WC 7600;100;2;25;570.724
WC 7700;100;1;100;570.285
WC 7800;100;1;100;570.115
WD;50;3;100;571.4
WD;50;3;100;572
WD 1000;50;3;100;571.4021
WD 1000;50;3;100;572.021
WD 1200 - WD 1280;50;4;25;571.405
WD 1200 - WD 1280;50;4;25;572.05
WD 1300 - WD 1399;50;4;25;571.4
WD 1300 - WD 1399;50;4;25;572
WD 1500;100;1;100;576.83
WD 1900;50;4;25;571.4
WD 1900;50;4;25;572
WD 2000 - WD 3100;100;1;100;571.4
WD 2000;100;2;50;571.4
WD 2100;100;1;100;571.401
WD 2200;100;2;50;572.43
WD 2300;100;1;100;571.43
WD 2350;100;2;25;003.5
WD 2400;100;2;50;572.43
WD 2500;100;1;100;571.45
WD 2500;50;3;100;571.459
WD 2600;100;1;100;571.47
WD 2700;100;1;100;571.46
WD 2800;100;1;100;571.455
WD 2800;25;3;100;572.4358
WD 2950;100;1;100;571.44
WD 3000;100;2;25;571.4
WD 3100;100;2;25;571.8
WD 4000 - WD 4010;;;;
WD 4000;100;2;50;572.03
WD 4010;100;2;50;572.07
WD 4150;100;2;25;572.8
WD 4550 - WD 9400;;;;
WD 4550;100;1;100;577.14
WD 4600;;;;
WD 4650;;;;
WD 4750;;;;
WD 5000 - WD 5970;;;;
WD 5000;;;;
WD 5050;100;1;100;572.7
WD 5055;100;1;100;572.791
WD 5060;100;1;100;572.792
WD 5065;100;1;100;572.793
WD 5070;100;2;50;572.79
WD 5075;100;2;50;572.79
WD 5080;100;2;50;572.79
WD 5085;100;1;100;572.69
WD 5090;50;4;25;572.744
WD 5100;100;1;100;572.6
WD 5200;50;3;100;572.548
WD 5200;50;4;50;572.65
WD 5250;100;2;50;572.65
WD 5275;50;4;50;572.66
WD 5280;100;2;50;572.68
WD 5300;100;2;50;572.8
WD 5350;100;1;100;572.85
WD 5355;100;1;100;572.88
WD 5360;100;1;100;572.86
WD 5365;100;2;25;572.85
WD 5380;100;2;25;572.68
WD 5390;50;4;50;547.632
WD 5400;100;1;100;572.57
WD 5450;100;1;100;572.579
WD 5450;25;4;25;573.38379
WD 5500;100;1;100;572.56
WD 5520;100;1;100;572.565
WD 5560;100;1;100;572.566
WD 5600;50;4;50;547.71
WD 5650;100;1;100;572.567
WD 5700;100;1;100;572.549
WD 5800;50;4;50;571.74
WD 5800;50;4;50;573.44
WD 5802 - WD 5830;;;;
WD 5802;100;1;100;573.474
WD 5804;100;2;50;573.454
WD 5804;50;4;25;573.84
WD 5808;100;1;100;573.4784
WD 5810;100;2;50;573.464
WD 5810;50;4;25;573.84
WD 5812 - WD 5814;100;2;50;573.3774
WD 5812 - WD 5814;50;4;50;612.34
WD 5812;100;2;25;572.565
WD 5814;100;2;25;573.3774
WD 5816;100;2;50;571.8374
WD 5818;100;2;50;573.464
WD 5820;100;2;50;573.454
WD 5820;50;4;25;612.492
WD 5822;100;1;100;573.6374
WD 5823;100;2;50;571.8451
WD 5823;50;4;25;612.61
WD 5824;100;2;50;573.6654
WD 5824;50;4;25;612.62
WD 5826;100;2;50;573.454
WD 5828;100;2;25;573.454
WD 5828;50;4;25;612.492
WD 5830;100;2;25;573.454
WD 5830;25;4;25;578.4
WD 5830;25;4;25;612.492
WD 5832 - WD 5844;;;;
WD 5832;50;4;25;573.84
WD 5834;50;4;25;573.84
WD 5836;50;4;25;573.155
WD 5838;50;4;50;573.1564
WD 5840;25;4;25;571.75
WD 5840;50;4;25;612.01522
WD 5842;50;4;25;573.44
WD 5844;50;4;25;573.6374
WD 5846;100;2;25;573.84
WD 5848;100;2;25;573.3379
WD 5850;;;;
