fromNotation;x;y;z;toNotation
VK 5660;100;2;50;547.13
VK 5680;100;1;100;543.17
VK 5700;100;1;100;547.12
VK 5800;50;3;100;547.1223
VK 5800;50;4;50;541.2242
VK 6000;100;2;50;547.2
VK 7000;100;1;100;547.8
VK 7100;100;3;50;547.4
VK 7100;100;3;50;547.5
VK 7150;100;1;100;547.7
VK 7200;100;1;100;547.59
VK 7300;50;4;25;546.6812
VK 7400;100;1;100;547.04
VK 7700;50;4;50;547.01-547.08
VK 7900;100;1;100;668.14
VK 8000;100;2;50;547.7
VK 8200;100;1;100;547.86
VK 8250;50;4;50;667.69
VK 8500;100;2;25;547
VK 8500;50;4;50;612.0157
VK 8520;100;1;100;547.77
VK 8520;50;4;50;612.01577
VK 8530;50;4;50;547.71
VK 8530;50;4;50;664.5
VK 8540;50;4;25;612.01577
VK 8540;100;2;25;547.7
VK 8550;50;4;50;547.71
VK 8550;50;4;25;612.0157
VK 8560;50;4;50;547.042
VK 8560;100;2;25;547.7
VK 8560;25;4;25;613.282
VK 8570;100;2;25;547.7
VK 8580;100;1;100;547.78
VK 8600;50;4;50;572.567
VK 8620;50;4;25;547.596
VK 8620;50;4;25;547.7
VK 8620;50;4;50;572.549
VK 8640;50;4;50;572.567
VK 8660;100;2;25;547.7
VK 8660;50;4;50;572.58
VK 8660;25;4;25;615.328
VK 8670;100;2;25;547.7
VK 8700;100;1;100;572.7
VK 8800;50;4;25;572
VN;100;1;100;660
VN 1000 - VN 1099;50;4;50;660.021
VN 1000 - VN 1099;50;4;50;660.03
VN 2000 - VN 4990;100;2;25;660
VN 5000 - VN 6109;100;2;50;660
VN 5000;100;2;50;660
VN 5010;100;2;25;660.07
VN 5020;100;2;25;660.07
VN 5030;100;2;25;660.014
VN 5040;100;2;50;016.66
VN 5070;25;4;25;378.242
VN 5075;25;4;25;378.242
VN 5080;100;2;25;660
VN 5085;100;2;25;660
VN 5100;100;2;50;660.072
VN 5200;100;2;50;660.076
VN 5400 - VN 5879;;;;
VN 5400;100;2;50;660.2844
VN 5420;50;4;50;665
VN 5430;25;4;25;662.625
VN 5430;25;4;25;665.772
VN 5450;50;3;100;665.5
VN 5450;50;3;100;665.7
VN 5470;50;4;50;662.6
VN 5470;25;4;25;662.8
VN 5470;50;4;50;665.538
VN 5470;25;4;25;665.7
VN 5480;100;1;100;662.2
VN 5490;25;4;50;674.13
VN 5490;25;4;25;676
VN 5500;100;1;100;676.2
VN 5510;100;1;100;676
VN 5550;100;1;100;668.3
VN 5570;100;2;50;667
VN 5570;50;3;100;667.6
VN 5570;50;3;100;667.7
VN 5570;50;3;100;667.8
VN 5800;50;3;100;667.2
VN 5800;50;3;100;667.3
VN 5830;25;4;25;675.23
VN 5850;50;3;100;661.808
VN 5870;25;4;25;691
VN 5900;50;4;50;668.4
VN 5900;50;4;50;668.9
VN 5900;25;4;50;677.4
VN 5920;100;1;100;668.4042
VN 5940;100;1;100;668.41
VN 5970;100;1;100;338.476684
VN 5980;;;;
VN 6000;100;2;50;661
VN 6010;100;2;50;660.2844
VN 6020;25;4;25;620.11
VN 6030;100;2;25;620.11223
VN 6040;100;1;100;671.732
VN 6050;100;1;100;621.31242
VN 6050;25;3;100;621.31244
VN 6050;25;3;100;665.81
VN 6060;;;;
VN 6080;100;1;100;660.298
VN 6100;100;1;100;668.6
VN 7000 - VN 7359;100;1;100;660.2
VN 7000;100;1;100;660.2
VN 7030;100;1;100;660.0151
VN 7040;100;1;100;660.2964
VN 7050;100;1;100;660.29
VN 7100;100;1;100;660.2842
VN 7120;100;2;25;660.2842
VN 7130;100;2;25;660.2842
VN 7150;100;2;25;660.2842
VN 7160;100;2;25;660.2842
VN 7170;100;2;25;660.2842
VN 7170;50;3;100;660.28422
VN 7180;100;2;25;660.2842
VN 7190;100;1;100;660.28424
VN 7200;100;2;25;660.2842
VN 7220;100;1;100;660.28425
VN 7230;100;2;25;660.2842
VN 7240;100;1;100;660.28426
VN 7260;100;2;25;660.2842
VN 7280;50;4;50;660.63
VN 7300;100;1;100;660.29
VN 7320;100;1;100;660.2832
VN 7330;100;1;100;660.2815
VN 7340;100;1;100;660.2995
VN 7350;100;1;100;660.2994
VN 7500;50;4;25;543.1
VN 7550;50;4;25;543.1
VN 8000;100;1;100;664
VN 8100;50;3;100;664.028
VN 8100;50;3;100;664.06
VN 8150;100;1;100;663.61
VN 8200;50;3;100;663
VN 8300;100;1;100;668.5
VN 8400;100;1;100;664.07
VN 8500;100;1;100;344.04232
VN 8600;100;1;100;664.09
VN 8700;;;;
VN 8800;100;1;100;614.12
VN 8900;100;1;100;660.6
VN 8930;100;2;50;660.63
VN 8950;100;2;50;660.63
VN 8980;100;1;100;660.65
VN 9200;50;4;50;363.73
VN 9250;50;4;50;363.738
VN 9280;50;4;50;363.7384
VN 9300;50;4;50;363.737
VN 9330;50;4;50;363.737
VN 9350;50;4;50;363.7392
VN 9360;50;4;50;363.7394
VN 9380;50;4;50;363.7396
VN 9400;50;4;50;363.728
VN 9420;50;4;50;363.7282
VN 9500;;;;
VN 9800;;;;
VR;100;2;50;615.1
VR 1000 - VR 1099;50;4;50;615.1021
VR 1000 - VR 1099;50;4;50;615.103
VR 2000;100;1;100;615.1143
VR 2050;100;2;50;615.11
VR 2100;100;2;50;615.11
VR 2400;100;2;50;016.6151
VR 2500;50;3;100;344.04233
VR 2520;50;4;50;353.998
VR 2650;50;3;100;615.1023
VR 2650;50;3;100;615.1071
VR 3000 - VR 3099;100;2;25;615.1
VR 3100 - VR 4990;100;2;25;615.1
VR 5000;100;2;50;615.1
VR 5010;100;2;25;615.107
VR 5020;100;2;25;615.107
VR 5030;100;2;50;610.14
VR 5100;100;2;50;615.072
VR 5200;100;2;50;615.076
VR 5800 - VR 9509;100;2;50;362.12023
VR 5800;100;2;50;362.12023
VR 5900;50;4;50;362.120284
VR 6000;50;4;50;615.4
VR 6500;50;4;50;615.4
VR 6600;;;;
VR 7000;50;4;50;615.18
VR 7500;50;4;50;615.14
VR 7500;100;2;50;615.0216
VR 7600;50;4;50;615.14021
VR 9000;50;4;50;362.12023
VR 9500;100;2;50;615.0216
VS;100;1;100;615.19
VS 1000 - VS 1099;50;4;50;615.021
VS 1000 - VS 1099;50;4;50;615.03
VS 2000 - VS 4990;100;2;25;615
VS 5000 - VS 5909;100;2;50;615
VS 5000;100;2;50;615
VS 5010;100;2;25;615.07
VS 5020;100;2;25;615.07
VS 5075;25;4;25;378.242
VS 5100;100;2;50;615.072
VS 5300;100;1;100;615.01
VS 5350;100;2;50;615.19
VS 5360;50;4;50;344.04233
VS 5360;50;4;50;363.1946
VS 5360;100;2;50;615.704
VS 5380;50;4;50;615.7042
VS 5400;50;3;100;616.0756
VS 5400;50;4;50;615.07
VS 5410;25;4;25;616.0756
VS 5410;25;4;25;615.07
VS 5450;100;2;25;615.07
VS 5700;100;1;100;615.7042
VS 5800;100;1;100;615.7045
VS 5900;100;2;50;615.07
VS 7000 - VS 9409;50;4;50;615.7
VS 7000;100;2;50;615.7
VS 7100;100;1;100;615.78
VS 7150;100;1;100;615.788
VS 7200;50;4;50;362.29
VS 7200;100;1;100;616.86
VS 7300;50;4;50;615.78
VS 7350;25;3;100;617.7061
VS 7350;25;3;100;615.778
VS 7380;100;1;100;615.72
VS 7400;50;4;50;615.363
VS 7400;100;2;25;615.74
VS 7500;100;2;25;615.74
VS 7600;100;2;25;615.74
VS 7700;50;4;50;615.364
VS 7700;100;2;25;615.74
VS 7800;50;4;50;615.366
VS 7800;100;1;100;615.766
VS 7900;50;4;50;616.97061
VS 8000;100;1;100;615.718
VS 8100;100;2;50;615.71
VS 8200;100;1;100;615.73
VS 8300;100;1;100;615.761
VS 8400;25;4;25;616.075
VS 8450;25;4;25;614.48
VS 8500;100;2;50;615.58
VS 8600;100;1;100;615.3167
VS 8700;100;2;50;615.329
VS 8750;100;1;100;616.91061
VS 8760;50;4;25;615.31
VS 8760;50;4;25;615.783
VS 8780;50;4;25;615.31
VS 9000;100;1;100;615.372
VS 9100;100;1;100;616.994061
VS 9200;50;4;50;616.97061
VS 9300;25;4;25;615.831
VS 9400;100;2;25;615.7
VS 9450;100;1;100;615.32
VS 9500;100;1;100;615.36
VS 9600;100;2;50;610.730284
VS 9650;50;3;100;641.300832
VS 9650;50;4;50;613.2
VS 9900;50;4;50;615.88
VT;100;2;50;615
VT 1000 - VT 1099;50;4;50;615.021
VT 1000 - VT 1099;50;4;50;615.03
VT 2000 - VT 4990;100;2;25;615
VT 5000 - VT 9009;100;2;50;615
VT 5000;100;2;50;615
VT 5010;100;2;25;615.07
VT 5020;100;2;25;615.07
VT 5075;25;4;25;378.242
VT 5100;100;2;50;615.072
VT 5200;100;2;25;615
VT 5250;100;1;100;613.2
VT 5300;100;1;100;615.9
VT 5350;100;2;50;615.9
VT 5400;100;1;100;615.94
VT 5500;100;2;50;615.94
VT 5600;100;2;50;615.94
VT 9000;100;2;25;615
VW;100;1;100;615.321
VW 1000 - VW 1099;50;4;50;615.321021
VW 1000 - VW 1099;50;4;50;615.32103
VW 2000 - VW 4990;100;2;25;615.321
VW 5000 - VW 9009;100;2;50;615.321
VW 5000;100;2;50;615.321
VW 5010;100;2;25;615.32107
VW 5020;100;2;25;615.32107
VW 5050;100;2;50;570.282
VW 5075;25;4;25;378.242
VW 5100;50;4;50;615.321072
VW 5100;50;4;50;570.282072
VW 5300;50;4;50;572.2
VW 5300;25;4;25;578.012
VW 5400;50;4;50;363.194
VW 5000;50;4;50;581.634
VW 5600;100;2;25;581.63409
VW 5700;100;2;50;581.634
VW 5900;50;4;50;581.632
VW 5950;50;4;50;616.86
VW 5950;100;2;26;615.321
VW 6000;100;2;50;615.952
VW 6100;50;4;25;581.60913
VW 6100;50;4;25;633.880913
VW 6150;50;4;50;581.634
