fromNotation;toNotation
611.98;WW 5660
611.98;WW 5664
612;WW 1584
612.01;WB 2405
612.01;WD
612.01;WC 4150 - WC 4370
612.014;WE 2300
612.014;WE 5300
612.014;WD 4550 - WD 9400
612.014;WB 2405
612.014;WD 2000 - WD 3100
612.014;WB 1076
612.014;WB 1036
612.014;XC 3800 - XC 3899
612.0142;WD 2400
612.0142;WD 2600
612.01421;WD 2400
612.01426;YV 6200 - YV 6299
612.01426;WX 3504
612.01426;WW 1704
612.01426;WW 1700
612.01426;WD 2700
612.01426;WX 8604
612.01426;XI 4000 - XI 4099
612.01427;WD 2600
612.0144;WX 8304
612.0144;WX 8300
612.0144;WX 8600 - WX 8689
612.01441;WX 8300
612.01441;WD 2300
612.01441;WX 8404
612.01441;WX 8400
612.01441;WW 5700
612.01441;WD 2000 - WD 3100
612.014412;WX 8404
612.014412;UT 1650
612.014412;WX 8400
612.014412;UT 3100
612.014414;WD 2000 - WD 3100
612.014415;WX 8560
612.014415;WX 8564
612.01442;YT 8500 - YT 8599
612.01442;YB 8800 - YB 8828
612.01442;YB 4400 - YB 4499
612.01442;XG 2800 - XG 2899
612.01442;XC 4100 - XC 4199
612.01442;WD 2600
612.01442;UH 3000
612.01444;WD 2800
612.01444;XG 2800 - XG 2899
612.01445;XE 6900 - XE 6999
612.01445;UF 5000 - UF 6900
612.014453;XE 6900 - XE 6999
612.014453;UF 5000 - UF 6900
612.014453;UV 4600
612.014455;UP 1800
612.014455;YT 9000 - YT 9099
612.014455;UF 6300
612.01446;WD 2700
612.01446;WX 3500
612.01446;WW 1700
612.014465;WX 8640
612.014465;WX 8600
612.014467;WC 2200
612.014467;WD 2700
612.014467;WX 8640
612.01448;WD 2500
612.01448;WK 1900
612.01448;WI 2450
612.01448;WG 3210
612.01448;WC 2800
612.01448;XE 6900 - XE 6999
612.014480287;YR 2200
612.014480287;UN 7100
612.014480287;UN 7200
612.014480287;YR 2000 - YR 2099
612.014480287;WC 2800
612.014481;UT 2550
612.014481;WX 8680
612.014481;XG 2800 - XG 2899
612.014481;WX 8600
612.014481;WD 2500
612.014482;YT 8500 - YT 8599
612.014482;UH 5900
612.014482;UH 5910 - UH 5950
612.014482;UN 5650
612.014482;XG 2800 -XG 2899
612.014482;YO 3700 - YO 3799
612.014484;YF 4500 - YF 4599
612.014484;XB 6100 - XB 6199
612.014484;UQ 5600
612.014484;WD 2500
612.014485;WC 2700
612.014485;YR 2200
612.014485;AR 25660
612.014485;YR 2600 - YR 2699
612.014485;YR 3200
612.014486;UO 5410
612.014486;AR 25700
612.014486;YR 3500 - YR 3599
612.014486;UN 7000 - UN 7900
612.014486;UP 2000
612.014486;XG 2800 - XG 2899
612.014486;WD 2500
612.0145;WX 8404
612.0145;US 9000 - US 9600
612.0145;WX 8400
612.01453;WX 8404
612.01453;WD 2000 - WD 3100
612.01453;WX 8400
612.014532;UT 1650
612.014532;WX 8404
612.014532;UT 3100
612.014532;WX 8400
612.014534;UT 1650
612.014534;UT 3100
612.014534;WX 8400
612.014534;WX 8404
612.014535;WX 8300
612.014535;WX 8400
612.014535;WX 8404
612.014535;YB 4300 - YB 4399
612.014535;WD 2000 - WD 3100
612.015;WD
612.015;WC 4150 - WC 4370
612.01501;WB 4000
612.01501;WD 9000
612.015028;YR 2500
612.015028;VG 6860 - VG 6869
612.015028;WC 3420
612.015028;WC 4150 - WC 4370
612.015028;WC 5150 - WC 5189
612.015028;YR 2200
612.0151;VK 8700 - VK 8709
612.0151;WD 5050
612.0151;WD 4000 - WD 4010
612.01522;WW 7160
612.01522;WD 4650
612.01522;YC 6300 - YC 6399
612.01524;WX 2404
612.01524;XI 9000 - XI 9099
612.01524;WX 2400
612.01524;WD 4750
612.01528;XG 2100 - XG 219
612.01528;VK 8550 - VK 8559
612.0154;WD 5000 - WD 5970
612.0154;WD 5100
612.0154;WD 5802 - WD 5830
612.0157;WD 5085
612.0157;WX 2200 - WX 2239
612.0157;WX 2200
612.0157;WK 3600
612.0157;WD 5300
612.0157;WD 5275
612.0157;WD 5100
612.0157;WD 5000 - WD 5970
612.015756;WD 5085
612.015756;WD 5100
612.015756;WD 5200
612.01577;WD 5400
612.01577;WX 2300 - WX 2399
612.01577;WX 2300
612.01578;WX 2100
612.01578;WX 2100 - WX 2139
612.01578;WD 5500
612.01582;WD 9000
612.01582;WD 2100
612.01582;WD 4000
612.01583;WD 4000 - WD 4010
612.01583;WC 2050
612.01583;WD 2200
612.01585;YV 4500 - YV 4599
612.01585;WC 4150 - WC 4370
612.01585;XC 3400 - XC 3499
612.01585;VG
612.01585;VB 2420 - VB 2429
612.022;WD 8000 - WD 8250
612.028;XH 1800 - XH 1899
612.028;XD 2000 - XD 2099
612.028;WX 6604
612.028;WX 6600
612.04;ZY 1600 - ZY 1760
612.04;ZX 9200 - ZX 9800
612.04;WX 8000 - WX 8700
612.04;WW 5540 - WW 6200
612.042;WX 8100
