fromNotation;toNotation
16354-6;4064286-0
16759-1;4123428-5
12217-1;4129338-1
10434-3;4128160-3
29281-0;4248037-1
29281-0;4242287-5
29281-0;4423366-8
29281-0;4034075-2
18759-5;4139029-5
13173-4;4025188-3
11847-1;4066796-0
29632-4;7505473-5
18793-5;4051201-0
18793-5;4457083-1
19820-2;4130774-4
14715-3;4076253-1
14024-2;4371892-9
14024-2;4371890-5
14833-4;4053430-3
16549-5;4073648-9
16053-6;4020871-0
18155-2;4124054-6
29639-4;4020908-8
11533-3;4017214-4
11186-5;4002787-9
12588-1;4129406-3
12013-3;4062937-5
19467-6;4156494-7
19184-4;4627818-7
15405-6;4040708-1
18168-0;4002733-8
29282-5;4425089-7
29282-5;4425090-3
29595-5;4193271-7
18990-3;4193621-8
19778-3;4016216-3
15904-2;4001446-0
15904-2;4141482-2
18032-4;4078615-8
18032-4;4134701-8
12940-6;4019294-5
15900-3;4117629-7
12777-5;4319673-1
12777-5;7687279-8
12777-5;4206781-9
11406-3;4203974-5
12812-1;4003828-2
19313-5;4315662-9
13002-3;4045696-1
19030-3;4005248-5
18872-2;4006244-2
11990-3;4182752-1
10570-2;4135540-4
12201-2;4002655-3
12201-2;4064030-9
14985-2;4065133-2
13054-5;4166613-6
18009-6;4145658-0
12247-6;4161620-0
13763-4;4177329-9
18493-3;4069183-4
29613-1;4172434-3
18944-3;4123427-3
16670-3;4032844-2
19111-3;4002759-4
19111-3;4120527-3
13193-5;4143178-9
13193-5;4002466-0
13193-5;4405761-1
13193-5;4002475-1
16496-0;4071013-0
13291-5;4182208-0
19523-1;4211578-4
18398-4;4187932-6
19309-3;4200279-5
29979-1;4319284-1
14724-2;4152090-7
14998-0;4190811-9
12180-5;4116640-1
12180-5;4117349-1
12180-5;4020160-0
12180-5;4149017-4
18916-1;4125082-5
10827-5;4112640-3
11004-2;4066491-0
15088-6;4196810-4
15346-3;4225472-3
12262-3;4124067-4
14573-4;4040851-6
15045-3;4037944-9
10312-3;4134884-9
18368-6;4144208-8
16019-6;4063351-2
19561-0;4451877-8
19542-4;4213629-5
29636-3;4348991-6
15061-5;4006298-3
11275-6;4162903-6
11275-6;4028898-5
11275-6;4162823-8
11275-6;4354314-5
15992-0;4147621-9
13995-4;4029050-5
11770-3;4121808-5
19818-3;4322766-1
12108-6;4131484-0
12108-6;4193565-2
12514-2;4127954-2
12514-2;4127453-2
11377-5;4053474-1
11377-5;4300554-8
16542-5;4055732-7
18238-5;4170407-1
11459-3;4125607-4
11973-3;4077814-9
13229-3;4197965-5
19332-1;4178574-5
15892-4;4054084-4
14814-1;4157633-0
14821-4;4334335-1
19857-0;4342676-1
19934-1;4226483-2
10342-1;4248362-1
10178-2;4226709-2
19681-4;4356701-0
14054-0;4068470-2
12116-0;4059196-7
13164-5;4184297-2
13165-3;4067995-0
15072-0;4358095-6
15072-0;4252783-1
19590-0;4273837-4
12953-4;4180456-9
12953-4;4180454-5
12953-4;4053861-8
13102-6;4122967-8
13102-6;4021852-1
11822-3;4158996-8
16308-6;4054442-4
15715-5;4077575-6
18496-4;4203547-8
18496-4;4156127-2
12203-5;4198893-0
15638-4;4009816-3
13180-0;4126246-3
13180-0;4442180-1
11723-5;4249324-9
18262-1;4165368-3
12186-0;4129472-5
16249-3;4041316-0
15974-2;4129195-5
12053-5;7637985-1
12053-5;4069378-8
12842-6;4318403-0
12842-6;7614468-9
11658-4;4158380-2
11664-2;4163281-3
11664-2;4340613-0
15774-3;4061650-2
12956-5;4060143-2
16470-4;4033114-3
19343-3;4332234-7
19335-2;4270766-3
10683-3;4023242-6
18785-4;4513264-1
13037-5;4171723-5
12070-5;4078599-3
13159-5;4129668-0
13057-6;4048576-6
13057-6;4036560-8
15064-6;4116599-8
13269-5;4114441-7
13303-3;4123867-9
14810-2;4067554-3
12805-5;4047340-5
20733-1;4490658-4
29901-3;4066409-0
10459-1;4171552-4
11539-5;4125981-6
13083-5;4129074-4
13306-4;4071600-4
24706-5;4234501-7
11411-3;4004469-5
11411-3;4235275-7
11779-6;4188065-1
12881-3;4078592-0
12881-3;4192084-3
10255-3;4174269-2
14078-0;4129767-2
10142-2;4161668-6
10251-4;4019905-8
10251-4;4120772-5
10628-4;4191030-8
11646-4;4146479-5
19492-0;4076600-7
15664-3;4041421-8
29876-4;4190151-4
10987-4;4066493-4
11355-1;4630963-9
11355-1;4125976-2
10675-2;4184762-3
19201-2;4189935-0
29845-1;4474079-7
13745-6;4121945-4
19566-4;4017692-7
29242-3;4314437-8
13050-6;4144318-4
19373-1;4173266-2
10410-3;4227466-7
19592-3;4129289-3
13436-5;4468055-7
13436-5;4034399-6
19036-5;4115716-3
27198-4;102756299X
16768-0;4006432-3
19407-3;4207538-5
13722-4;4233255-2
13722-4;4128564-5
10931-3;4047105-6
19438-6;4048278-9
19438-6;4121550-3
11704-2;4057447-7
21282-3;4219652-8
10524-2;4124594-5
10524-2;4211061-0
16134-6;4143493-6
16134-6;4144756-6
24704-2;4112443-1
24704-2;4122751-7
24704-2;4353072-2
15265-3;4038974-1
10205-4;4145385-2
10205-4;4040098-0
19828-0;4519495-6
29934-2;4128972-9
11184-2;4068809-4
18749-1;4412410-7
29101-0;4728387-7
12918-6;4194766-6
12918-6;7674042-0
13794-0;4189704-3
13794-0;4211516-4
19796-1;4074617-3
11448-1;4132844-9
18984-5;4016960-1
11807-6;4202322-1
11988-4;4679255-7
13210-3;4202488-2
13210-3;4023222-0
13210-3;4175798-1
13210-3;4248356-6
13210-3;4162246-7
13210-3;4699898-6
13443-1;4000757-1
19568-0;4288033-6
19220-5;4005198-5
12533-5;4120610-1
30026-6;1041611064
19269-3;4112584-8
18900-2;4048539-0
29592-4;4165039-6
12372-3;4020915-5
12372-3;4179470-9
15761-5;4286402-1
19596-2;4732282-2
16402-0;4055695-5
19195-6;4121196-0
28213-1;4027532-2
18510-1;4278885-7
11417-5;4188824-8
28701-2;4189521-6
14924-1;4178899-0
10030-6;4139397-1
13474-4;4181873-8
11350-4;4055874-5
16621-2;4020832-1
12311-2;4151359-9
12311-2;4152804-9
29998-4;4491154-3
19029-2;4120997-7
14932-2;4428726-4
12725-3;4138914-1
15976-5;4076570-2
11974-1;4056783-7
13445-4;4073988-0
18668-1;4381572-8
18668-1;4117190-1
18901-0;4185482-2
11969-1;4055304-8
19025-3;4282520-9
18337-3;4178274-4
18337-3;4286698-4
14174-4;4014216-4
19247-6;4145068-1
19247-6;4145071-1
11981-4;4195348-4
19757-4;4482930-9
11252-4;4005878-5
12197-2;4057542-1
19574-5;4346437-3
19574-5;4346436-1
13731-3;4138526-3
13731-3;7573652-4
13731-3;4226853-9
10160-0;4172187-1
29501-5;4120448-7
29501-5;4011453-3
16475-1;4226550-2
15917-0;4015537-7
29942-3;4440597-2
11564-6;4121250-2
14252-3;4158215-9
18805-3;4121361-0
18911-4;4127643-7
10779-4;4139011-8
10779-4;4142075-5
19140-3;4150252-8
19140-3;4127117-8
15399-3;4016338-6
11127-0;4060633-8
19412-3;4262746-1
18656-1;4121605-2
18656-1;4051742-1
14407-0;4024299-7
14407-0;4055583-5
15879-3;4128227-9
30027-4;4114333-4
29226-1;4261642-6
28951-0;4276060-4
15704-3;4038722-7
19007-5;4260586-6
13816-2;4051199-6
19383-5;4017345-8
12750-4;4134388-8
11432-2;4163495-0
11366-3;4069376-4
11366-3;4069377-6
11366-3;4215766-3
11366-3;4248043-7
11366-3;4123638-5
16309-4;4132367-1
10877-4;4130467-6
15519-5;4060694-6
10649-3;4250169-6
16011-1;4048739-8
28014-0;4181997-4
18654-5;4215401-7
29871-0;4123457-1
19280-1;4206283-4
19125-6;4218573-7
13381-4;4130816-5
13259-1;4140044-6
15635-3;4069491-4
15684-4;4066486-7
15372-2;4251077-6
16059-1;4129156-6
15328-5;4335202-9
15328-5;4294677-3
16605-0;4165119-4
11901-0;4130981-9
29223-0;4688372-1
14021-1;4004945-0
16051-3;4029788-3
10667-1;4161422-7
19711-0;4460341-1
19711-0;4194424-0
10265-0;4188516-8
10265-0;4129494-4
15628-0;4030340-8
15628-0;4134381-5
10831-0;4077886-1
18750-2;4134929-5
18750-2;4161356-9
11600-0;4796372-4
11600-0;4175360-4
10947-2;4272155-6
10947-2;4140843-3
11401-6;4035117-8
14449-5;4018026-8
16192-6;4028893-6
29675-0;1044255552
11616-6;4182682-6
19698-1;4047020-9
11389-5;4005961-3
11389-5;4144734-7
11389-5;7679597-4
11389-5;4069332-6
11389-5;4198872-3
18424-1;4133005-5
10811-6;4132737-8
10811-6;4162044-6
10811-6;4163275-8
30028-2;4033597-5
19021-4;4226238-0
12801-6;4125133-7
13498-4;4138284-5
15779-0;4188995-2
16438-0;4265846-9
16140-4;4028867-5
13163-0;4134613-0
14735-4;4032552-0
18781-5;4160214-6
18847-1;4135885-5
19001-3;4280519-3
15698-0;4055260-3
13427-6;4280234-9
13427-6;4163050-6
13427-6;4131714-2
29920-6;4172190-1
10598-1;4059227-3
12399-4;4061598-4
12399-4;4064007-3
19151-5;4032055-8
19764-0;4238118-6
14603-0;4019320-2
14603-0;4427426-9
10058-5;4055720-0
13354-0;4021329-8
18139-0;4006216-8
29964-0;4020511-3
29888-4;4591652-4
29811-4;4057329-1
13881-5;4005674-0
13881-5;7627824-4
12255-0;4138464-7
27445-6;4801271-3
18840-1;4020169-7
19786-4;4142176-0
10437-4;4184587-0
16510-4;4127888-4
19640-4;4288465-2
14266-6;4038860-8
10151-1;4152928-5
19091-4;4167654-3
19091-4;4051492-4
29708-4;4019509-0
12921-3;4202655-6
10773-2;4064921-0
10752-3;4366648-6
12535-1;4258137-0
10177-4;4127382-5
12952-6;4348226-0
12952-6;4116366-7
12952-6;4179344-4
19134-5;4834499-0
18712-3;4019894-7
18712-3;4204146-6
18712-3;4202584-9
25681-4;4013656-5
18486-0;4161606-6
18486-0;7628813-4
18235-4;4211713-6
18149-4;4390054-9
16602-6;4020645-2
18187-3;4134157-0
15609-4;7571300-7
15609-4;4026894-9
30070-3;4041248-9
11525-2;4017208-9
15644-2;4019838-8
15658-5;4038243-6
29626-6;4161151-2
16480-1;4028918-7
19521-5;4013673-5
19521-5;1043571531
14056-3;4152681-8
13420-6;4056618-3
10942-5;4138547-0
15762-3;4400133-2
29684-6;4215387-6
11613-5;4043153-8
18527-5;4202858-9
10728-0;4146589-1
16050-5;4020646-4
11826-2;4206228-7
13025-5;4142121-8
13372-5;4032786-3
19600-2;4160799-5
19600-2;4026170-0
18867-2;4198012-8
16439-5;4027366-0
10678-3;4124443-6
19801-6;4131424-4
11487-5;4172497-5
18666-5;4341131-9
30031-6;4129566-3
18790-4;4162055-0
12091-4;4043774-7
13064-2;4182836-7
13064-2;4182807-0
18258-6;4049714-8
18414-4;4139861-0
12278-2;4027566-8
16335-3;4063347-0
11083-1;4026651-5
15993-5;4130688-0
13046-4;4331061-8
16029-3;4015110-4
11134-3;4031820-5
10546-6;4012539-7
13416-4;4049507-3
15994-3;4128501-3
12282-4;4122230-1
18236-2;4128636-4
13412-5;4039305-7
29064-1;4175658-7
29064-1;4067516-6
11586-3;4127588-3
16721-5;4129164-5
11374-4;4035088-5
11374-4;4035097-6
12592-3;4006148-6
13726-3;4201792-0
13726-3;4486093-6
13726-3;4156426-1
10001-6;4002820-3
10305-0;4147512-4
11392-2;4140637-0
19406-5;4120840-7
12030-3;4200061-0
15619-1;4047409-4
10427-0;4217110-6
30005-0;4272573-2
14596-6;4238318-3
29233-4;4049534-6
16539-1;4122330-5
14646-3;4045855-6
19765-5;4124224-5
18367-1;4073359-2
16541-0;4049078-6
11676-2;4058338-7
10572-5;4071698-3
20301-2;4752163-6
18754-1;4055754-6
15764-6;4078517-8
19019-5;4073783-4
29995-3;7539965-9
14525-1;4136080-1
15759-6;4061616-2
16384-4;4032510-6
18612-0;4134191-0
18612-0;4134189-2
18612-0;4247903-4
10913-5;4078603-1
16271-3;4134127-2
10015-2;4172197-4
15089-4;4270767-5
11801-4;4000771-6
10552-4;4454600-2
10091-0;4301024-6
16525-5;4001413-7
19432-4;4263045-9
19533-5;4133767-0
13001-5;4126319-4
18289-2;4071722-7
29941-5;4075090-5
14030-0;4134774-2
14769-1;4030270-2
14769-1;4153870-5
13839-4;4220801-4
11054-1;4130502-4
13028-6;4387445-9
19770-5;4130217-5
13756-1;4112667-1
14189-5;4189214-8
15903-4;4067043-0
24856-0;4167290-2
19555-2;4513398-0
19555-2;4260995-1
19555-2;4416850-0
19555-2;7851257-8
15398-5;4012470-8
12275-1;4020903-9
18177-6;4272560-4
18240-4;4140648-5
20491-6;4025798-8
13346-6;4161680-7
12587-3;4138198-1
19455-6;4158278-0
18836-6;4116549-4
14420-1;4025993-6
15821-6;4038459-7
18569-3;7537926-0
13247-1;4036559-1
13429-2;4073997-1
18345-4;4210450-6
18345-4;4208892-6
11478-6;4150170-6
18871-4;4066538-0
15929-0;4286929-8
15929-0;4116433-7
19703-6;4062802-4
19845-0;4112631-2
16599-4;4067906-8
29875-6;4328283-0
19635-4;4020535-6
10770-1;4188827-3
14144-6;4053848-5
14011-4;4219058-7
14011-4;4041423-1
14011-4;4009836-9
14011-4;4202451-1
19386-6;4152663-6
16410-1;4032187-3
16435-6;4072885-7
14270-1;4056871-4
18503-5;4468083-1
18197-0;4129532-8
14150-4;4025668-6
14150-4;4406571-1
19814-4;4043830-2
12295-2;4049495-0
10562-1;4335474-9
10562-1;4335472-5
15754-2;4425009-5
13738-3;4177794-3
28482-2;4068097-6
11504-3;4161487-2
13450-4;4034389-3
15057-3;4690875-4
15057-3;4055072-2
18333-4;4146165-4
15705-1;4459218-8
13322-6;4125859-9
11661-1;4161507-4
12261-5;4188751-7
11738-6;4423220-2
10475-3;4015223-6
29837-0;4552267-4
18310-2;4169484-3
14972-4;4128384-3
13414-1;7744409-7
13414-1;4176036-0
13389-2;4048770-2
30047-5;4071776-8
15621-0;4691865-6
15621-0;4175844-4
15621-0;4055382-6
12105-5;7606306-9
12105-5;4075693-2
12105-5;4335640-0
10808-2;4236489-9
18617-4;4283583-5
19678-0;4792975-3
12314-3;4240300-5
12314-3;4694285-3
11209-5;4053771-7
29544-1;4201126-7
29902-1;4144199-0
19302-3;4065288-9
10625-3;4065472-2
13340-4;4183591-8
19549-4;4032694-9
13488-0;4172402-1
18988-4;4155061-4
11088-5;4037764-7
19271-2;4121078-5
15450-1;4042085-1
29228-4;4384600-2
19775-2;4038403-2
29759-1;4330180-0
10835-6;4135389-4
15923-5;4028808-0
15923-5;4286934-1
11157-5;4130935-2
16023-1;4064766-3
18859-1;4020774-2
18859-1;4062860-7
15703-5;4026779-9
13207-6;4270479-0
19364-2;4126109-4
15760-0;4129442-7
19536-6;4205165-4
11231-5;4196933-9
15375-3;4415405-7
18983-0;4034441-1
18196-2;4184295-9
15773-5;4055735-2
14583-1;4010457-6
11335-0;4139092-1
10310-0;4124821-1
10310-0;4125481-8
13090-1;4189685-3
18707-3;4004470-1
19660-5;4003957-2
18066-1;4246534-5
10504-1;4034288-8
11339-6;4246596-5
11339-6;4184464-6
10413-4;4056832-5
13368-3;4125200-7
10201-5;4139127-5
19809-4;4380940-6
19809-4;4399931-1
18061-4;4207441-1
18456-2;4121931-4
11422-5;4128444-6
18732-4;4152077-4
10034-5;4461523-1
18374-4;4195589-4
13127-4;4319308-0
14084-5;4136723-6
14084-5;4124906-9
13363-6;4056399-6
13363-6;4137547-6
13454-3;4034229-3
16250-4;4131524-8
12949-2;4251085-5
12949-2;4045547-6
12949-2;4114351-6
24786-2;4167209-4
19390-1;4182841-0
24664-2;4354267-0
24664-2;4465385-2
16342-6;4044696-7
19122-5;4200415-9
11663-4;4163265-5
30061-4;4177823-6
10019-1;4053461-3
14512-3;4189162-4
21011-6;4138865-3
15067-0;4255044-0
18106-1;4197034-2
18031-6;4124295-6
10314-6;4153602-2
13493-0;4064592-7
18233-1;4022369-3
13593-3;4187806-1
16485-5;4117338-7
29776-1;4368653-9
10505-6;4034453-8
14091-1;4159957-3
13801-1;4032937-9
18071-1;4135804-1
18110-3;4514269-5
10574-1;4073624-6
16552-2;4115725-4
16552-2;4049043-9
11687-4;4123252-5
14014-5;4077555-0
16187-6;4054176-9
14885-6;4019278-7
14516-2;4003984-5
12612-2;4015249-2
12612-2;4002741-7
12612-2;4026775-1
12612-2;4002808-2
13236-6;4182835-5
13367-5;4063004-3
19347-2;4188244-1
12619-2;4167403-0
19779-1;4188737-2
19037-3;4193791-0
10865-4;4153392-6
14093-4;4037135-9
13712-0;4141735-5
19339-1;4141296-5
12567-2;4631201-8
12567-2;4076000-5
12567-2;4045269-4
11526-0;4154425-0
11526-0;4121273-3
11246-6;4068813-6
13428-4;4034917-2
16683-1;4038289-8
14446-4;4138095-2
10315-4;4246598-9
29828-1;4040408-0
12807-1;4135136-8
13504-0;4167757-2
14586-2;4056371-6
12057-4;4215791-2
29446-1;4235850-4
28601-6;4053454-6
30058-0;4015379-4
10041-1;4128353-3
12320-1;4346401-4
20306-6;4246587-4
19158-5;4268726-3
16324-1;4166568-5
15811-2;4055891-5
27590-4;4114261-5
12656-3;4129153-0
26680-1;4122351-2
26680-1;4570578-1
13992-3;4061949-7
11469-0;4284301-7
19725-3;4169977-4
10515-3;4122109-6
13650-3;4008570-3
27589-3;4145063-2
15965-3;4041411-5
10113-2;4066735-2
19564-1;4439002-6
15515-6;4129730-1
13543-4;4033480-6
15786-3;4074166-7
16273-6;4046514-7
16273-6;4203997-6
10424-6;4212286-7
19834-5;4568727-4
16166-0;4151495-6
14996-4;4058502-5
21014-0;4183210-3
14393-6;4025685-6
14393-6;4691557-6
14393-6;4065604-4
10566-0;4253140-8
10566-0;4127551-2
13465-5;4272524-0
15935-5;4050473-6
10170-4;4019561-2
12371-5;4251555-5
12371-5;4263503-2
12371-5;4121363-4
13325-0;4000107-6
14902-4;4138128-2
12737-3;7576811-2
12737-3;4874360-4
12737-3;4050208-9
18808-4;4177434-6
29954-3;4131395-1
16606-5;4075168-5
19137-6;4017256-9
16278-3;4072853-5
10250-6;4040050-5
29730-4;4157023-6
27199-2;4405316-2
16100-2;4072350-1
12502-2;4127694-2
10021-0;4131941-2
10021-0;4056142-2
11360-1;4069342-9
11360-1;4144759-1
11360-1;4005871-2
10508-0;4398432-0
16604-2;4114011-4
11673-1;4170035-1
29881-4;4755259-1
29656-4;4232311-3
18980-6;4068471-4
15983-1;4064302-5
14295-6;4147944-0
18220-3;4124065-0
12252-6;4032945-8
18561-5;4381485-2
11341-5;4168089-3
11341-5;4815042-3
10597-3;4135328-6
16295-3;4046539-1
10492-3;4438995-4
13823-5;4136782-0
11975-6;4072821-3
15535-0;4155950-2
10129-1;4048698-9
14079-5;4051115-7
14408-5;4064195-8
19143-4;4166859-5
18073-4;4120871-7
11519-4;4175628-9
16013-4;4056648-1
18704-2;4751640-9
12182-1;4021365-1
19565-6;4200234-5
19511-1;4122370-6
19079-1;4139149-4
19079-1;4020619-1
19079-1;4139150-0
29772-2;4123984-2
29955-1;4169552-5
16658-0;4014457-4
29574-6;4128013-1
11038-6;4253999-7
10328-2;4113637-8
14936-1;4020794-8
18178-4;4270478-9
11347-0;4052717-7
16732-0;4117665-0
18234-6;4064171-5
11571-2;4056025-9
11397-6;4006667-8
11778-1;4063077-8
11778-1;4249329-8
30063-0;4075230-6
13766-5;4199581-8
13666-2;4195321-6
13365-2;4063004-3
29602-6;4020820-5
29541-0;4162092-6
14723-4;4013058-7
13060-3;4416875-5
16797-0;4041070-5
29908-3;4075494-7
14581-5;4056248-7
18339-6;4155069-9
29585-1;7628985-0
16668-4;4198658-1
11666-5;4031597-6
11666-5;4114247-0
11666-5;4172798-8
11666-5;4424655-9
11666-5;4794172-8
11314-1;4002617-6
12021-4;4069568-2
12021-4;4138626-7
14899-2;4031011-5
12354-5;4126612-2
29868-3;4058802-6
15678-6;4049426-3
15362-5;4159750-3
12896-4;4244202-3
12896-4;4144920-4
29818-4;4078921-4
10897-5;4071520-6
29604-2;4132260-5
18123-1;4020889-8
13379-5;4123102-8
15258-0;4247120-5
12495-1;4257580-1
29926-1;4328819-4
13703-1;4161147-0
29441-4;4195139-6
13706-2;4175732-4
16493-6;4012402-2
19734-2;4066489-2
18726-6;4057595-0
10147-6;4121664-7
10147-6;4233396-9
13446-2;4068473-8
13154-1;4135772-3
13154-1;4202176-5
19429-0;4475180-1
15752-6;4178388-8
16661-4;4752223-9
14175-2;4014692-3
19382-0;4484020-2
13331-5;4030910-1
13331-5;4000313-9
13331-5;4154103-0
20744-3;4835547-1
16676-5;4058361-2
10156-5;4190616-0
19034-2;4056914-7
10872-0;4201054-8
11167-2;4196959-5
14068-3;4114299-8
19547-1;7570943-0
28080-1;4123776-6
10338-6;4141640-5
10338-6;4032125-3
13669-3;4067488-5
15765-4;4043207-5
27902-4;4148114-8
19157-0;4359391-4
18443-4;4034901-9
20503-4;4503315-8
12848-1;4069399-5
29640-5;4126593-2
19116-0;4287302-2
19354-5;4480075-7
10056-2;4121553-9
14752-4;4077653-0
11181-1;4206782-0
14623-1;4130237-0
14107-5;4006940-0
13117-0;4135612-3
13117-0;4044527-6
10738-4;4193272-9
15860-3;4203096-1
16712-6;4128308-9
10764-3;4064147-8
11421-0;4019899-6
10421-5;4724050-7
11904-1;4077832-0
12330-5;4752592-7
12330-5;4193372-2
