sourcenotation;targetnotation
348.7348; PU 5260
348.735; PU 5160 - PU 5200
348.74; PU 5000
349;  PP 6900 - PP 6969
349; PS 2400 - PS 2440
349.1; PT 319
349.1; PT 320 - PT 520
349.1; PU 2100 - PU 9840
349.1; PL 670 - PL 758
349.2; PS 2740 - PS 2760
349.73; PU 5300
349.73; PU 5310
349.73; PW 9300
349.73; PL 734
349.9; PU 2100 - PU 9250
