sourcenotation;targetnotation
341.754; PU 1540
341.7543; PP 7000 - PP 7999
341.7543; QL 644
341.7543; MK 8500
341.7543; PR 2353
341.7543; QM 400 - QM 435
341.7543; QM 230
341.775; PH 8520
341.775; PR 2353
341.778; PR 2210
341.778; PR 2215
341.78; PR 2569
341.78; PS 2960 
342; PN
342; PL
342; PS 3040 - PS 3090 
342; PN 341
342.02; PS 3852 - PS 3858
342.02; PN 212
342.02; PL 320 - PL 550
342.02; PL 330
342.02; PL 610 - PL 625
342.023; PL 373 - PL 375
342.023; PL 374
342.024; PN 203
342.024; PL 373
342.029; PL 240 - PL 310
342.03; PL 387
342.03; PL 240 - PL 310
342.032; PL 387
342.032; MF 5700 - MF 5750
342.035; PL 387 
342.039; Pl 221
342.04; PL 390 - PL 393
342.04; PK 245
342.041; MF 6400
342.041; PK 245
342.0412; PR 2100 - PR 2131
342.0412; MK 4000 - MK 7900
342.0412; PR 2405
342.0412; PO 3900 - PO 3904
342.0412; NK 7050 - NK 7700
342.0413; PN 352 - PN 430
342.0418; PN 400 - PN 407
342.0418; PN 410 - PN 418
342.042; PL 385
342.042; PL 390 - PL 393
342.042; ME 8000 - ME 8900
342.044; PL 350
342.044; PH 3550
342.044; PL 376 - PL 378
342.044; PL 350 - PL 359
342.05; PL 389
342.05; MF 5700
342.05; PL 387
342.05; PS 3000 - PS 3090
342.05; PL 392
342.052; PL 385
342.052; PL 387
342.053; MF 4400
342.053; MF 4340
342.053; MF 4350
342.053; PL 379
342.053; PL 380
342.055; PL 381
342.055; PL 392
342.055; MF 5400
342.055; PN 296
342.057; PL 387
342.057; MF 5700
342.06; PN 223 - PN 279
342.06; PN 280
342.06; PN 980 - PN 999
342.062; PN 438
342.06; PN 432 - PN 470
342.062; PL 610 - PL 625
342.062; MG 15098
342.0628; PN 490
342.0628; PN 438
342.0628; PN 440
342.064; MF 7600 - MF 7800
342.064; PN 218
342.066; PN 250 - PN 252
342.066; PN 243 
342.0662; PN 752
342.0662; PN 244
342.0662; MF 7040
342.0664; PN 942 - PN 951
342.0664; MG 15770 
342.0667; MF 8800
342.0667; PN 219
342.068; PN 281 - PN 311
342.068; PN 492
342.068; PS 3882
342.068; PS 3060
342.0684; PN 293
342.0686; PN 288 - PN 294
342.0686; AL 25500
342.07; PL 380
342.07; MG 15430
342.07; PL 378
342.07; MF 4300
342.072; MF 4300 
342.072; PL 380
342.072; MF 4400
342.075; MF 4350
342.075; PL 380
342.078; MF 4700
342.078; PL 381
342.078; PL 380
342.08; PL 400 - 418
342.08; PZ 4700 - PZ 4900
342.08; PR 2213 
342.082; PN 404
342.082; PN 430
342.082; PR 2214 
342.083; PN 430
342.083; PS 3872
342.083; PL 350
342.083; PL 378
342.083; MK 4050
342.083; PS 2600 - PS 2760
342.084; PI 4550
342.084; XL 4800
342.084; PH 3860
342.085; PL 400 - PL 418
342.085; PH 3840
342.0852; BR 4134
342.0852; BR 4137
342.0852; BR 4138
342.0852; PL 407
342.0853; MF 1700
342.0853; AP 29100
342.0853; PL 408
342.0853; PL 404
342.0854; PL 411
342.0854; PN 403
342.0854; PK 280
342.0858; PL 400 - PL 418
342.0858; PZ 3700
342.0858; PZ 4000 - PZ 4900
342.0858; PD 2880
342.087; PL 406
342.087; PR 2215
342.087; PN 430
342.087; PL 2213
342.087; ME 8800
342.0872; PR 2215
342.0872; PL 732
342.0872; PR 2213
342.0872; PR 2351
342.0873; PR 2200 - PR 2214
342.0873; MG 10968
342.0873; PS 3420
342.0873; PR 2215
342.0877; PR 2213
342.0877; PK 280
342.0877; PS 3420
342.088; PN 278
342.088; PD 6180
342.088; PN 276
342.09; PN 312 -PN 349
342.09; ME 9000 - ME 9800
342.1; PS 3500 - PS 3640
342.1; PN 216 - PN 220
342.1; MK 4000 - MK 7900
342.2; PR 2450 - PR 2465
342.2; PR 2400 - PR 2425
342.73; PL 728 - PL 734
343;-------------
343.01; PN 482 - PN 499
343.01; MY 9000 - MY 9500
343.01; PR 2621
343.01; PO 3300
343.011; PN 490
343.011; MY 9000 - MY 9500 
343.0112; PL 728  - PL 734
343.0112; PN 482 - PN 499
343.0112; MY 9000 - MY 9500
343.0113; MY 7400 - MY 7700
343.0113; MY 7700
343.0114; PN 281 - PN 311T5
343.0114; PF 263
343.0114; PF 500 - PF 570
343.0114; PR 2605
343.0114; PQ 5400 - PQ 5480
343.0115; XE 5600 - XE 5699
343.0115; YI 2800 - YI 2899
343.0115; XB 5300 - XB 5399
343.0116; PR 2605
343.0116; PQ 6200 - PQ 6280
343.0116; PG 440 - PG 445
343.0116; PN 492
343.0116; QX 000
