sourcenotation;x;y;z;targetnotation
TP 5068;50;4;25;554.3414
TP 5070;50;4;25;554.3412
TP 5070;50;4;50;554.3414
TP 5072;100;1;100;554.3416
TP 5074;50;3;100;554.342
TP 5074;50;3;100;554.343
TP 5076;50;4;25;554.341
TP 5076;50;4;50;554.343
TP 5076;50;4;50;554.3551
TP 5084;100;1;100;554.342
TP 5086;100;2;50;554.3435
TP 5088;100;2;50;554.3435
TP 5090;50;3;100;554.33
TP 5090;50;3;100;554.346
TP 5090;25;3;100;554.347
TP 5092;100;1;100;554.346
TP 5092;50;3;100;554.347
TP 5094;100;3;50;554.34626
TP 5094;100;3;50;554.34643
TP 5094;50;4;50;554.34645
TP 5096;100;2;50;554.34645
TP 5098;100;1;100;554.34643
TP 5100;100;1;100;554.34626
TP 5102;100;2;50;554.346
TP 5104;100;2;25;554.346
TP 5106;100;2;50;554.346
TP 5108;50;4;50;554.34169
TP 5108;50;4;50;554.34645
TP 5112;50;4;50;554.3471
TP 5114;50;4;50;554.34718
TP 5116;50;4;50;554.3471
TP 5118;100;2;50;554.3473
TP 5120;100;2;25;554.3462
TP 5122;100;2;50;554.34622
TP 5124;100;1;100;554.33
TP 5126;25;3;100;554.331
TP 5126;25;3;100;554.332
TP 5126;25;3;100;554.333
TP 5126;25;3;100;554.334
TP 5127;100;2;50;554.333
TP 5128;100;1;100;554.333
TP 5130;100;2;25;554.33
TP 5132;100;1;100;554.332
TP 5134;100;2;25;554.33
TP 5136;100;2;50;554.3378
TP 5138;100;1;100;554.331
TP 5140;100;2;50;554.334
TP 5142;100;2;25;554.33
TP 5144;100;2;50;554.331
TP 5146;100;1;100;554.33138
TP 5148;100;1;100;554.334
TP 5150;100;2;50;554.335
TP 5152;50;3;100;554.335
TP 5152;50;3;100;554.336
TP 5152;50;3;100;554.337
TP 5156;100;2;25;554.33
TP 5158;100;2;50;554.337
TP 5160;100;1;100;554.335
TP 5162;100;2;25;554.34735
TP 5164;100;2;25;554.33
TP 5166;100;2;25;554.336
TP 5168;100;1;100;554.336
TP 5170;100;2;50;554.336
TP 5172;100;2;50;554.3371
TP 5174;100;2;25;554.336
TP 5174;50;3;100;554.3368
TP 5174;50;3;100;554.3369
TP 5176;100;2;50;554.3367
TP 5178;100;1;100;554.3155
TP 5180;50;3;100;554.31
TP 5180;50;3;100;554.32
TP 5187;100;1;100;554.317
TP 5189;100;2;50;554.317
TP 5191;100;2;50;554.317
TP 5193;100;2;50;554.317
TP 5195;100;2;50;554.3176
TP 5197;50;3;100;554.315
TP 5197;50;3;100;554.318
TP 5199;100;1;100;554.31821
TP 5200;100;2;50;554.318
TP 5203;100;2;50;554.315
TP 5205;100;1;100;554.31538
TP 5207;100;1;100;554.31544
TP 5209;100;2;50;554.315
TP 5211;100;2;25;554.315
TP 5213;50;4;50;554.3151
TP 5213;50;4;50;554.3182
TP 5213;50;4;50;554.3184
TP 5217;50;4;50;554.318
TP 5219;100;1;100;554.322
TP 5221;100;2;50;554.322
TP 5223;100;1;100;554.3226
TP 5225;100;1;100;554.321
TP 5227;100;2;50;554.321
TP 5228;100;2;50;554.32145
TP 5229;100;1;100;554.32169
TP 5230;100;1;100;554.32148
TP 5231;100;1;100;554.3216
TP 5233;100;2;25;554.38
TP 5235;100;2;50;554.3816
TP 5237;50;4;25;554.382
TP 5237;50;4;25;554.3832
