fromNotation;toNotation;type
15599-2;4402944-5;related
15599-2;4225115-1;related
29751-3;4120793-2;broad
19538-2;4352678-0;related
19239-5;4418672-1;exact
13194-3;4414651-6;narrow
13194-3;4409245-3;narrow
13194-3;4414010-1;narrow
13194-3;4414009-5;narrow
13194-3;4202895-4;narrow
15480-6;4178223-9;narrow
14779-5;4129132-3;related
13355-5;4033430-2;exact
13355-5;4998392-1;exact
13355-5;4033423-5;exact
20897-6;4632087-8;exact
12205-1;4261793-5;narrow
12205-1;4201956-4;narrow
12205-1;4161779-4;narrow
12205-1;4432068-1;narrow
12205-1;4239364-4;narrow
12205-1;4170105-7;narrow
12205-1;4201958-8;narrow
12205-1;4138196-8;narrow
12205-1;4264000-3;narrow
12205-1;4018417-1;narrow
12205-1;4461672-7;narrow
12205-1;4729870-4;narrow
12509-2;4187411-0;exact
13615-5;4010520-9;exact
12393-2;4124934-3;exact
12393-2;4055525-2;exact
29903-6;4044795-9;exact
18803-0;4182632-2;narrow
18803-0;4225796-7;narrow
18803-0;4125541-0;narrow
10574-1;4115362-5;related
10574-1;4031790-0;related
10574-1;4070860-3;related
10754-6;4126090-9;related
13368-3;4067497-6;related
12781-0;4328097-3;narrow
12781-0;4139016-7;narrow
12781-0;4322919-0;narrow
13327-3;4131412-8;related
12768-6;4263308-4;narrow
12768-6;4237233-1;narrow
14479-3;4020119-3;exact
16479-0;4113743-7;exact
20948-1;4201693-9;exact
20948-1;7730601-6;exact
12085-6;4137827-1;related
12085-6;4233771-9;related
12085-6;4202177-7;related
11812-6;4137876-3;related
11812-6;4113438-2;related
11812-6;4121192-3;related
10714-4;4231957-2;narrow
10714-4;4231956-0;narrow
10714-4;4112495-9;narrow
16730-4;4189718-3;exact
18856-0;7556467-1;narrow
18856-0;4203069-9;narrow
18856-0;4129261-3;narrow
18856-0;4180085-0;narrow
13376-4;4002849-5;exact
13321-1;4330262-2;related
13312-2;4230737-5;narrow
16671-1;4042126-0;related
16671-1;4166660-4;related
16671-1;4077813-7;related
16671-1;4226622-1;related
16671-1;4166662-8;related
14515-4;4132854-1;exact
19633-1;4205608-1;related
13197-4;4008626-4;exact
13197-4;4384147-8;exact
16131-5;4112538-1;related
16131-5;4113307-9;related
29823-4;4198888-7;exact
18559-6;4061629-0;exact
11358-2;4803086-7;exact
11358-2;4124581-7;exact
16769-5;4006443-8;exact
10315-4;4194034-9;broad
29654-1;4145377-3;exact
12337-5;4069703-4;exact
12337-5;4069454-9;exact
19786-4;4192300-5;narrow
29953-5;4056243-8;broad
24705-0;4127776-4;exact
18985-3;4443985-4;narrow
10884-0;4136537-9;exact
11165-6;4143069-4;related
29922-2;4035816-1;exact
12693-4;4113594-5;exact
13578-6;4177061-4;exact
13578-6;4048579-1;exact
12514-2;4127683-8;related
12514-2;4488186-1;related
29976-0;4064324-4;broad
30019-3;4421423-6;exact
10902-3;4037625-4;exact
18059-5;4425143-9;exact
18059-5;4431208-8;exact
11142-4;4209689-3;exact
11142-4;4055829-0;exact
16615-4;4139304-1;related
10602-1;4003789-7;exact
10602-1;4003763-0;exact
19291-3;4322381-3;exact
12521-5;4032596-9;exact
18328-4;4324701-5;related
18328-4;4323853-1;related
18645-6;4125717-0;exact
14070-2;4043242-7;exact
19737-3;4043726-7;exact
19737-3;4031225-2;exact
12689-2;4280686-0;related
12689-2;4065592-1;related
12306-2;4127425-8;exact
12306-2;4006172-3;exact
11636-0;4129062-8;exact
15478-0;4050133-4;exact
10684-1;4136939-7;exact
15635-3;4071722-7;narrow
16680-0;4398833-7;related
16680-0;4120627-7;related
16680-0;4195244-3;related
11722-0;4056673-0;exact
12241-4;4360355-5;narrow
12241-4;4360353-1;narrow
12241-4;4154984-3;narrow
28881-2;4037558-4;related
19966-2;4128408-2;exact
13085-1;4331523-9;exact
13066-5;4219675-9;narrow
29898-1;4173825-1;exact
19338-3;4139346-6;exact
11971-0;4138964-5;exact
29760-2;4122921-6;narrow
13553-1;4180628-1;narrow
13553-1;4436395-3;narrow
13553-1;4460671-0;narrow
13553-1;4271469-2;narrow
18500-4;4050406-2;exact
16633-2;4138546-9;narrow
16633-2;4132065-7;narrow
11367-1;4006681-2;exact
12609-5;4122056-0;narrow
12609-5;4068817-3;narrow
12609-5;4186855-9;narrow
12609-5;4142915-1;narrow
12609-5;4002772-7;narrow
12609-5;7501439-7;narrow
12609-5;4002699-1;narrow
16404-3;4048171-2;exact
13441-5;4166679-3;exact
29052-1;4048715-5;exact
18829-3;4113306-7;exact
15415-3;4133165-5;narrow
15415-3;4336859-1;narrow
15415-3;4166273-8;narrow
15415-3;4246834-6;narrow
15415-3;4164125-5;narrow
15415-3;4125117-9;narrow
19564-1;4350944-7;narrow
19564-1;4209252-8;narrow
19564-1;4391043-9;narrow
19564-1;4392625-3;narrow
19220-5;4158371-1;narrow
15730-2;4141186-9;exact
13767-3;4189324-4;exact
13767-3;4198010-4;exact
12207-4;4017195-4;exact
12793-0;4455061-3;narrow
11543-0;4323991-2;narrow
11543-0;4245666-6;narrow
11543-0;4112708-0;narrow
11543-0;4428041-5;narrow
11543-0;4156172-7;narrow
11957-1;4029823-1;exact
12905-1;4004811-1;exact
12905-1;4069177-9;exact
14548-3;4151633-3;related
10207-0;4322425-8;exact
19132-2;4123448-0;exact
19132-2;4203710-4;exact
11267-5;4003689-3;exact
12936-4;4001312-1;related
16102-5;4131021-4;narrow
19496-6;4123381-5;related
19496-6;4132698-2;related
19496-6;4479949-4;related
16638-6;4128491-4;related
16016-5;4166573-9;narrow
12103-2;4247907-1;exact
14216-0;4073754-8;exact
14216-0;4203219-2;exact
16726-2;4132893-0;narrow
18920-3;4268059-1;broad
10307-3;4047354-5;broad
11965-2;4019956-3;exact
15251-0;4372292-1;exact
11599-1;4017176-0;exact
18670-0;4140657-6;exact
15272-6;4431358-5;related
15272-6;4181024-7;related
15272-6;4335525-0;related
15272-6;4644801-9;related
12175-5;4003550-5;exact
16185-3;4261714-5;exact
10057-0;4186957-6;narrow
16489-4;4156935-0;narrow
16489-4;4139132-9;narrow
16489-4;4138523-8;narrow
14336-4;4128097-0;narrow
14336-4;4125032-1;narrow
14336-4;4020807-2;narrow
14336-4;4064163-6;narrow
19675-6;4159405-8;broad
13708-5;4238466-7;related
16312-1;4359485-2;narrow
16186-1;4162163-3;narrow
16052-1;4815044-7;narrow
19522-3;4151183-9;related
19809-4;4266146-8;narrow
13428-4;4117626-1;related
13428-4;4152821-9;related
19294-4;4029195-9;exact
15860-3;4274923-2;related
15860-3;4195139-6;related
18344-6;4154473-0;related
19516-5;4612632-6;exact
18709-6;4140768-4;related
18025-1;4049506-1;exact
16283-3;4129320-4;exact
12829-5;4602331-8;narrow
12829-5;4140129-3;narrow
18127-0;4202324-5;narrow
29822-6;4002719-3;exact
11046-0;4322277-8;narrow
11046-0;4121692-1;narrow
11046-0;4261738-8;narrow
11046-0;4188673-2;narrow
11046-0;4121435-3;narrow
16032-0;4130689-2;related
29620-4;4018225-3;broad
29620-4;4045170-7;broad
19594-6;4056243-8;broad
12749-3;4224504-7;exact
12749-3;4154155-8;exact
12749-3;4131022-6;exact
18595-2;4334629-7;exact
13120-4;4196935-2;exact
10411-1;4133617-3;narrow
29597-1;4396438-2;related
29597-1;4494340-4;related
29761-0;4497812-1;exact
29761-0;4249091-1;exact
18281-4;4134359-1;exact
18281-4;4140245-5;exact
12135-3;4210296-0;exact
18121-5;4078604-3;broad
29783-4;4732699-2;broad
10505-6;4198990-9;related
11903-3;4190723-1;related
11903-3;4134936-2;related
20855-1;4639012-1;exact
10465-6;4059205-4;exact
11295-0;4144815-7;related
11295-0;4144794-3;related
11295-0;4125074-6;related
11295-0;4129479-8;related
11295-0;4299411-1;related
11295-0;4144795-5;related
18163-3;4138261-4;exact
12788-0;4127317-5;related
15373-0;4132280-0;exact
15753-4;4124074-1;exact
15753-4;4178393-1;exact
12091-4;4316286-1;narrow
12091-4;4115462-9;narrow
12091-4;4353176-3;narrow
12091-4;4129522-5;narrow
12091-4;4219178-6;narrow
12091-4;4234785-3;narrow
13329-6;4000306-1;exact
12947-6;4172339-9;related
12947-6;4371897-8;related
18380-2;4058956-0;exact
11286-1;4112560-5;exact
11286-1;4002587-1;exact
11893-1;4302459-2;narrow
12354-5;4197807-9;narrow
14116-4;4060370-2;exact
18948-2;4013887-2;narrow
13605-1;4547604-4;narrow
14093-4;4358857-8;related
14093-4;4432534-4;related
30030-1;4117662-5;exact
15859-2;4117714-9;exact
14808-3;4184078-1;exact
14808-3;4184454-3;exact
18221-1;4152747-1;exact
15937-1;4013656-5;related
15937-1;4113379-1;related
15937-1;4199577-6;related
11659-2;4022355-3;exact
10300-3;4062644-1;exact
10828-3;4287551-1;related
10828-3;7670139-6;related
15637-6;4008690-2;exact
15101-5;4004941-3;exact
15126-3;4251573-7;exact
10272-3;4063886-8;exact
10644-6;4250169-6;narrow
18612-0;4135790-5;narrow
15706-6;4066399-1;exact
12975-1;4014743-5;exact
13242-4;4006761-0;exact
13242-4;7748765-5;exact
19637-0;4155554-5;narrow
15051-1;4075297-5;exact
15842-5;4246596-5;related
11525-2;4162091-4;narrow
12913-2;4235141-8;broad
13861-4;4117672-8;exact
16306-3;4136252-4;exact
15904-2;4672891-0;related
18098-2;4197318-5;exact
19586-5;4027556-5;related
15668-2;4307461-3;narrow
15668-2;4126016-8;narrow
15668-2;4177642-2;narrow
10239-1;4175807-9;exact
10239-1;4372136-9;exact
16422-1;4173442-7;related
19671-0;7549815-7;exact
19671-0;4514622-6;exact
13660-0;4047171-8;narrow
17983-5;7616440-8;narrow
12081-0;4114008-4;narrow
12081-0;4189660-9;narrow
12384-3;4205004-2;exact
28414-5;4680202-2;related
15647-3;4247231-3;related
15647-3;4332679-1;related
10147-6;4414230-4;related
15735-6;4134979-9;exact
12998-3;4166353-6;exact
10285-1;4165120-0;related
18433-0;4131649-6;narrow
16515-1;4033581-1;exact
16515-1;4145273-2;exact
15893-2;4057302-3;exact
10025-6;4063885-6;exact
15372-2;4177490-5;related
15372-2;4248209-4;related
28353-6;4164958-8;exact
13339-3;4053212-4;related
10464-1;4302630-8;related
16146-6;4329128-4;narrow
16146-6;4170903-2;narrow
12620-3;4002643-7;narrow
12620-3;4276090-2;narrow
10022-5;4210552-3;narrow
10022-5;4310413-7;narrow
10511-4;4058331-4;exact
18297-3;4036563-3;broad
19017-2;4429030-5;narrow
11628-6;4002198-1;related
11628-6;4262576-2;related
11628-6;4114245-7;related
29804-1;4168905-7;exact
11569-3;4122384-6;narrow
11569-3;4144402-4;narrow
11569-3;4368537-7;narrow
11569-3;4266046-4;narrow
11569-3;4548412-0;narrow
11569-3;4151446-4;narrow
11569-3;4155290-8;narrow
11569-3;4416163-3;narrow
11569-3;4145970-2;narrow
11569-3;4809112-1;narrow
14957-0;4009236-7;narrow
14957-0;4168873-9;narrow
14627-0;4180399-1;related
28923-5;7542254-2;exact
11365-5;4484371-9;related
11365-5;4121799-8;related
12004-4;4161710-1;exact
15763-1;4139780-0;narrow
15763-1;4226579-4;narrow
15763-1;4179311-0;narrow
15763-1;4240181-1;narrow
15763-1;4186806-7;narrow
15763-1;4346327-7;narrow
15763-1;4186812-2;narrow
15763-1;4254294-7;narrow
15763-1;4555381-6;narrow
15763-1;4304982-5;narrow
15763-1;4201889-4;narrow
15763-1;4062942-9;narrow
15763-1;4183694-7;narrow
15763-1;4179312-2;narrow
15763-1;4117286-3;narrow
18752-5;4117671-6;exact
15676-3;4056449-6;exact
11569-3;4055856-3;exact
11569-3;4055776-5;exact
11347-0;4260444-8;narrow
10291-6;4138185-3;narrow
16554-5;4014606-6;exact
14980-5;4043076-5;exact
18519-4;4304068-8;exact
10784-4;4768702-2;narrow
15093-6;4128399-5;exact
13072-3;4148256-6;exact
13714-3;4443989-1;related
11751-0;4127097-6;related
11751-0;4121859-0;related
13967-2;4127709-0;related
10291-6;4138341-2;exact
18655-3;4244904-2;exact
18655-3;4184642-4;exact
13655-0;4509874-8;narrow
13655-0;4261927-0;narrow
13655-0;7630006-7;narrow
13655-0;4251352-2;narrow
19040-0;4032386-9;exact
10511-4;4134333-5;related
10895-2;4165037-2;related
10895-2;4212020-2;related
10895-2;4065837-5;related
15656-2;4035408-8;exact
12808-6;4125960-9;exact
11441-1;4124975-6;exact
11809-2;4000776-5;exact
11873-0;4121557-6;broad
19787-2;4026331-9;exact
14200-1;4057194-4;narrow
18594-4;4052449-8;broad
18241-2;4148290-6;exact
18975-6;4180115-5;narrow
10797-2;4259219-7;exact
10797-2;4003783-6;exact
19157-0;7555626-1;related
11288-4;4035113-0;exact
11288-4;4035114-2;exact
11288-4;4284509-9;exact
16454-2;4683478-3;narrow
12910-1;4023299-2;exact
11681-2;4334010-6;narrow
11681-2;4117350-8;narrow
11681-2;4192837-4;narrow
11681-2;4158970-1;narrow
11681-2;4144284-2;narrow
13832-4;4191288-3;related
10057-0;4135592-1;related
11153-6;1041356269;narrow
13988-1;4473975-8;exact
13988-1;4125974-9;exact
19573-0;4288533-4;exact
19916-3;4332831-3;exact
19916-3;4317130-8;exact
29716-5;4127451-9;related
21082-4;4123447-9;exact
13290-0;4518559-1;narrow
13290-0;4340784-5;narrow
13290-0;4131385-9;narrow
13290-0;4237220-3;narrow
13290-0;4470929-8;narrow
13290-0;4236108-4;narrow
13290-0;4518879-8;narrow
13290-0;4165621-0;narrow
13352-4;4154384-1;exact
11356-6;4000883-6;exact
11356-6;4000881-2;exact
11356-6;4284923-8;exact
10001-6;4198770-6;narrow
10001-6;4190923-9;narrow
10001-6;4447469-6;narrow
10001-6;4194724-1;narrow
18490-2;4589014-6;exact
15972-6;4048835-4;exact
10822-1;4437841-5;exact
14302-0;4650491-6;related
12985-5;4396440-0;narrow
14092-6;4234400-1;related
14092-6;4139196-2;related
13250-5;4805800-2;related
16314-4;4017754-3;exact
18030-1;4077920-8;exact
10406-1;4063898-4;exact
29771-4;4013585-8;broad
15842-5;4145028-0;exact
18979-5;4234285-5;exact
18770-3;4306932-0;exact
30007-3;4066446-6;broad
11968-3;4135789-9;exact
16332-2;4019737-2;exact
16336-1;4071514-0;narrow
16336-1;4063357-3;narrow
10979-3;4273575-0;narrow
13652-6;4114492-2;narrow
11277-2;4002623-1;broad
18557-3;7732328-2;narrow
10828-3;4833776-6;narrow
10828-3;4070544-4;narrow
19851-5;4542351-9;narrow
29929-2;7845727-0;exact
14392-1;4182324-2;narrow
12236-4;4237441-8;related
12236-4;4233258-8;related
12847-3;4164095-0;narrow
12847-3;4435352-2;narrow
14225-6;4012069-7;exact
14051-6;4293043-1;narrow
14051-6;4154141-8;narrow
14051-6;4117356-9;narrow
14051-6;4121952-1;narrow
14051-6;4121860-7;narrow
14051-6;4260072-8;narrow
14051-6;4120758-0;narrow
19830-6;4074442-5;exact
19830-6;4190155-1;exact
10187-1;4131857-2;exact
10481-1;4044876-9;related
10481-1;4173526-2;related
15638-4;4078178-1;narrow
15638-4;4300470-2;narrow
15638-4;4184575-4;narrow
15638-4;4330887-9;narrow
11537-2;4071675-2;exact
11537-2;4266047-6;exact
14023-4;4139566-9;narrow
14023-4;4121067-0;narrow
14023-4;4670073-0;narrow
15727-5;4124508-8;exact
13821-2;4188017-1;exact
29657-2;1042246734;exact
28329-3;4280806-6;exact
18119-6;4122750-5;related
10302-6;4455182-4;related
10302-6;4192135-5;related
10302-6;4192136-7;related
29887-6;4156111-9;exact
10908-5;4176591-6;narrow
10908-5;4125150-7;narrow
10908-5;4137898-2;narrow
13268-0;4018908-9;exact
12079-1;4074518-1;exact
14432-1;4153568-6;related
18252-4;4074676-8;exact
14738-5;4126815-5;exact
18587-1;4140641-2;exact
12891-0;4218744-8;narrow
12891-0;4267801-8;narrow
12891-0;4205356-0;narrow
12891-0;4223451-7;narrow
12891-0;4246638-6;narrow
19397-1;4431840-6;narrow
13188-5;7658468-9;narrow
13188-5;4139126-3;narrow
13188-5;7622526-4;narrow
11959-4;4027105-5;broad
18162-5;4203043-2;exact
18162-5;4132099-2;exact
12085-6;4006179-6;exact
12085-6;4037278-9;exact
20733-1;4490657-2;narrow
20733-1;4138164-6;narrow
20733-1;7659200-5;narrow
20733-1;4490660-2;narrow
20733-1;4490659-6;narrow
29571-5;4043216-6;exact
14154-3;4387670-5;exact
14154-3;4390795-7;exact
11894-6;4006292-2;broad
15979-6;4057808-2;exact
12035-0;4246611-8;exact
19247-6;4122799-2;narrow
15336-6;4170720-5;exact
12185-2;4023690-0;exact
13641-4;4154095-5;exact
10772-4;4115630-4;related
29944-6;4252999-2;exact
13845-2;4226622-1;related
13845-2;4225768-2;related
13845-2;4192636-5;related
13845-2;4192637-7;related
13845-2;4192638-9;related
13845-2;4117683-2;related
19113-6;4510179-6;related
19113-6;7618813-9;related
10225-5;4257954-5;exact
10225-5;4384597-6;exact
12492-0;4156541-1;exact
12780-2;4122113-8;exact
12780-2;4012421-6;exact
12923-6;4508317-4;exact
29984-1;4137176-8;exact
14188-0;4138608-5;related
14188-0;4124439-4;related
14626-2;4273898-2;related
14626-2;4045587-7;related
14626-2;4051955-7;related
19784-1;4190602-0;narrow
19784-1;4307946-5;narrow
18835-1;7842404-5;related
18007-3;4000201-9;exact
18007-3;4186786-5;exact
12403-4;4145075-9;narrow
12978-2;4152668-5;narrow
12978-2;4136950-6;narrow
12978-2;4246601-5;narrow
14196-1;4404126-3;related
14196-1;4400279-8;related
19149-6;4175677-0;related
12956-5;4474521-7;narrow
19107-1;4329573-3;exact
28384-2;4132262-9;exact
15930-1;4042452-2;exact
19301-5;4347191-2;exact
12265-4;4141728-8;narrow
12265-4;4139166-4;narrow
12265-4;4192444-7;narrow
12265-4;4522369-5;narrow
12265-4;4214936-8;narrow
12798-4;4023246-3;exact
10278-5;4139121-4;exact
13871-1;4774509-5;narrow
13516-0;4586699-5;related
13516-0;4456203-2;related
13516-0;4226625-7;related
10638-1;4362278-1;exact
13465-5;4293443-6;narrow
14123-0;4025823-3;exact
19253-4;4066559-8;exact
10513-0;4133617-3;narrow
11415-2;4019889-3;exact
12930-2;4216832-6;narrow
12930-2;4154570-9;narrow
12930-2;4303003-8;narrow
13390-3;4193242-0;exact
15408-0;4230396-5;exact
10606-0;4003858-0;exact
13964-1;7627831-1;exact
13964-1;4066455-7;exact
27185-6;4431979-4;related
10836-4;4231961-4;related
13437-3;4131139-5;exact
16654-1;4162511-0;exact
11993-4;4056780-1;narrow
11993-4;4315899-7;narrow
11341-5;4019732-3;narrow
11341-5;4115622-5;narrow
11341-5;4323722-8;narrow
11341-5;4168068-6;narrow
11341-5;4423359-0;narrow
12670-2;7677569-0;narrow
12670-2;4474648-9;narrow
12670-2;7635818-5;narrow
12670-2;4246866-8;narrow
12670-2;4484317-3;narrow
12670-2;4012514-2;narrow
12670-2;4128193-7;narrow
12670-2;4377422-2;narrow
12670-2;4214214-3;narrow
14593-5;4013537-8;exact
14593-5;4052945-9;exact
10016-0;4139399-5;exact
10016-0;4154143-1;exact
13808-1;4275385-5;narrow
13808-1;4169016-3;narrow
13808-1;4228554-9;narrow
13808-1;4133740-2;narrow
13808-1;4154261-7;narrow
13808-1;4261220-2;narrow
13808-1;4371337-3;narrow
13808-1;4197107-3;narrow
13808-1;4127105-1;narrow
13808-1;4145073-5;narrow
10045-0;4129447-6;related
14824-5;4414639-5;related
14824-5;4193862-8;related
12796-1;4129054-9;exact
12796-1;4063129-1;exact
14285-2;4182848-3;related
11271-0;4152945-5;narrow
18695-5;4243697-7;narrow
18695-5;4243696-5;narrow
19733-4;4062547-3;exact
12325-5;7548935-1;narrow
12325-5;7532252-3;narrow
12325-5;4154021-9;narrow
12325-5;4036231-0;narrow
12325-5;4113562-3;narrow
12325-5;4322031-9;narrow
12325-5;4114437-5;narrow
12325-5;4323949-3;narrow
12325-5;4215133-8;narrow
12325-5;4123095-4;narrow
12325-5;4704303-9;narrow
14964-3;4389144-5;related
14964-3;4113575-1;related
14964-3;4369962-5;related
14964-3;4369963-7;related
14237-6;4179548-9;narrow
14237-6;4168954-9;narrow
18143-2;4196324-6;exact
18409-4;4129145-1;exact
11535-6;4017211-9;exact
15903-4;4042861-8;narrow
12470-3;4008086-9;exact
15723-6;4055772-8;exact
15315-0;4339273-8;exact
15066-2;4592441-7;narrow
15066-2;4245617-4;narrow
15066-2;4249675-5;narrow
11506-6;4136463-6;narrow
11506-6;4163396-9;narrow
13473-6;7685781-5;narrow
11216-1;4233506-1;exact
10478-4;4044874-5;exact
18521-3;4577375-0;narrow
18521-3;4740461-9;narrow
13391-1;4063089-4;exact
10313-1;4153603-4;exact
15974-2;4122326-3;narrow
16249-3;4153744-0;narrow
16249-3;4164188-7;narrow
16249-3;4126965-2;narrow
16249-3;4016494-9;narrow
16249-3;4041597-1;narrow
10052-3;4179409-6;related
10567-5;4345142-1;broad
11382-5;4062005-0;exact
18023-5;4332716-3;related
16470-4;4129808-1;related
16470-4;4073817-6;related
16470-4;4137620-1;related
29935-0;4319296-8;exact
18314-1;4138143-9;related
18314-1;4026212-1;related
29597-1;4609268-7;narrow
14200-1;4031641-5;exact
14200-1;4164619-8;exact
16396-4;4186983-7;narrow
18831-2;4079366-7;related
18831-2;4251872-6;related
18831-2;4155290-8;related
12816-0;4131185-1;narrow
12816-0;4131173-5;narrow
12816-0;4124103-4;narrow
12816-0;4131171-1;narrow
12816-0;4130980-7;narrow
12816-0;4131172-3;narrow
12816-0;4237928-3;narrow
14060-5;4020933-7;exact
11309-1;4002805-7;exact
19655-5;4561842-2;exact
10488-1;4002963-3;exact
18431-4;4273897-0;exact
12009-1;4161884-1;related
12625-0;4193143-9;exact
14846-2;4270956-8;related
14846-2;4211504-8;related
19120-2;4253932-8;narrow
12905-1;4328910-1;related
12905-1;4229529-4;related
11336-5;4168066-2;narrow
18434-5;4049540-1;related
18434-5;4150721-6;related
18434-5;4021852-1;related
16515-1;4033667-0;narrow
16515-1;4165973-9;narrow
16515-1;4073641-6;narrow
14413-5;4140524-9;exact
19544-0;4728437-7;related
13343-5;4158271-8;narrow
13343-5;4170224-4;narrow
13343-5;4133996-4;narrow
16489-4;4003846-4;exact
16489-4;4191416-8;exact
16489-4;4012404-6;exact
16489-4;4165113-3;exact
16489-4;4012407-1;exact
16489-4;4143555-2;exact
18329-2;4445089-8;exact
15941-3;4071184-5;exact
16198-1;4057795-8;exact
18434-5;4124801-6;exact
16004-5;4117613-3;narrow
13193-5;4418449-9;related
19139-2;4117346-6;exact
19733-4;4187525-4;related
16529-4;4205000-5;narrow
15910-0;4006291-0;exact
10593-4;4050420-7;exact
11304-4;4002620-6;narrow
19219-4;4114581-1;exact
12668-3;4203807-8;exact
19790-6;4015016-1;related
29656-4;4032587-8;related
12847-3;4112547-2;related
12847-3;4002377-1;related
12847-3;4203533-8;related
18976-4;4062638-6;exact
11191-5;4448220-6;narrow
11191-5;4113636-6;narrow
11191-5;4115537-3;narrow
11191-5;4002709-0;narrow
11191-5;4122397-4;narrow
11191-5;4498922-2;narrow
11191-5;4211943-1;narrow
11191-5;4187606-4;narrow
11191-5;4219388-6;narrow
11191-5;4126937-8;narrow
11191-5;4578019-5;narrow
11191-5;4125856-3;narrow
11191-5;4112463-7;narrow
11391-4;4117622-4;exact
11391-4;4205121-6;exact
18498-0;4444715-2;exact
16280-2;4043649-4;exact
11680-4;4187573-4;related
11680-4;4196773-2;related
12171-6;4127675-9;narrow
12278-2;4497876-5;related
11504-3;4175610-1;narrow
11504-3;4218577-4;narrow
11504-3;4188828-5;narrow
11504-3;4189714-6;narrow
13636-4;4214835-2;related
13636-4;4154005-0;related
18745-2;4138280-8;narrow
10213-5;4175631-9;narrow
10213-5;4384419-4;narrow
10213-5;4175608-3;narrow
10213-5;4187571-0;narrow
10213-5;4125931-2;narrow
10213-5;4139135-4;narrow
10213-5;4121507-2;narrow
10213-5;4429324-0;narrow
10213-5;4250775-3;narrow
10213-5;4175632-0;narrow
10213-5;4175618-6;narrow
10213-5;4170009-0;narrow
16190-3;4010452-7;exact
19544-0;7730524-3;exact
19544-0;4592128-3;exact
18126-2;4296522-6;narrow
12326-3;4112755-9;exact
10294-0;4162257-1;broad
10797-2;4244487-1;narrow
14525-1;4063464-4;narrow
24621-6;4000100-3;exact
18643-3;4123202-1;exact
28187-4;4144679-3;broad
16664-5;4181935-4;related
16664-5;4364700-5;related
16664-5;4077575-6;related
13697-5;4467281-0;related
19384-3;4554551-0;related
19384-3;4303013-0;related
18874-5;4134590-3;exact
14778-0;4208861-6;narrow
16739-0;4139028-3;exact
18741-3;4078850-7;exact
18296-5;4781185-7;exact
19729-2;4022901-4;exact
10976-2;4135420-5;exact
13678-2;7710663-5;narrow
13678-2;4154086-4;narrow
18107-6;4011517-3;exact
29808-0;4073331-2;exact
20261-2;4300861-6;exact
10812-4;4194297-8;exact
19703-6;4130403-2;related
10962-6;4170135-5;narrow
10962-6;4114151-9;narrow
10962-6;4136316-4;narrow
15839-1;4114395-4;exact
10895-2;4510526-1;narrow
10895-2;4125459-4;narrow
10895-2;4128269-3;narrow
10895-2;4138265-1;narrow
10895-2;4189758-4;narrow
10895-2;4144348-2;narrow
10895-2;4217352-8;narrow
16176-4;4140705-2;exact
16176-4;4140706-4;exact
16176-4;4004923-1;exact
16176-4;4128010-6;exact
16782-6;4153593-5;narrow
16782-6;4026901-2;narrow
16782-6;4568758-4;narrow
16782-6;4175651-4;narrow
16782-6;4353901-4;narrow
16782-6;4128313-2;narrow
11217-6;4121950-8;related
11217-6;4142937-0;related
11217-6;4351127-2;related
16041-6;4117728-9;related
14306-6;4627371-2;related
13283-4;4361898-4;narrow
13283-4;4150162-7;narrow
13283-4;4465949-0;narrow
13283-4;4113720-6;narrow
13283-4;4498161-2;narrow
13283-4;4292977-5;narrow
13283-4;4165571-0;narrow
13283-4;4032950-1;narrow
13283-4;4398596-8;narrow
13283-4;4165579-5;narrow
13283-4;4402684-5;narrow
13283-4;4156558-7;narrow
13283-4;4165350-6;narrow
13283-4;4198288-5;narrow
13283-4;4465276-8;narrow
19603-3;4072560-1;related
19472-6;4002733-8;broad
13410-2;4121346-4;related
13410-2;4055771-6;related
18522-1;4290186-8;narrow
18522-1;4603230-7;narrow
19274-3;4178227-6;exact
19713-3;4127873-2;exact
13024-0;4190780-2;exact
16204-4;4155435-8;exact
19806-3;4188417-6;exact
12916-3;4027561-9;exact
12587-3;4149736-3;narrow
12587-3;4429179-6;narrow
12587-3;4068803-3;narrow
18613-5;4019638-0;exact
10424-6;4212288-0;narrow
10424-6;4121889-9;narrow
15674-0;4055757-1;narrow
15674-0;4461927-3;narrow
15674-0;4192615-8;narrow
12064-0;4175755-5;related
12721-4;4235141-8;exact
18509-0;4129875-5;related
18509-0;4020583-6;related
13584-4;4187820-6;exact
18501-2;4194341-7;narrow
18501-2;4157568-4;narrow
19013-3;4126412-5;related
19013-3;4047667-4;related
19013-3;4129298-4;related
12232-5;4199841-8;related
16029-3;4059555-9;related
29442-2;4035439-8;exact
29442-2;4130705-7;exact
19225-2;4121579-5;exact
13474-4;4132938-7;narrow
13474-4;4513925-8;narrow
13474-4;4367546-3;narrow
13474-4;4191163-5;narrow
13474-4;4132936-3;narrow
13474-4;4132933-8;narrow
11572-0;4205490-4;related
15873-1;4044375-9;related
15873-1;4140085-9;related
15873-1;4059351-4;related
15873-1;4660584-8;related
27282-1;4139808-7;exact
18390-6;4141916-9;exact
16112-2;4229047-8;narrow
16112-2;4057439-8;narrow
16112-2;4183183-4;narrow
16112-2;4336812-8;narrow
15982-3;4167060-7;exact
15982-3;4063270-2;exact
19790-6;4045326-1;narrow
21020-5;4684051-5;exact
15272-6;4121608-8;exact
19189-1;4775432-1;exact
10350-2;4199922-8;exact
16037-4;4062127-3;exact
13418-0;4139197-4;narrow
