fromNotation;sourcepreflabel;toNotation;targetpreflabel
251.712;Handschriften-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.712;Handschriften-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.712;Handschriften-Behandlung in Bibliotheken;AM 46800;Handschriftenarten und Handschriftenbeschreibung: Katalogisierung und Katalogisierungsregeln
251.714;Archivalien-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen 
251.714;Archivalien-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.716;Seltene Bücher-Behandlung in Bibliotheken;AN 78850;Sonderbestände: Rara
251.716;Seltene Bücher-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.172;Flugschriften-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen 
025.172;Flugschriften-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.732;Fortlaufende Sammelwerke-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.732;Fortlaufende Sammelwerke-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.734;Amtliche Dokumente-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.734;Amtliche Dokumente-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.736;Forschungsberichte-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen 
251.736;Forschungsberichte-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.174;CD-ROMs-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
025.174;CD-ROMs-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.176;Atlanten-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
025.176;Atlanten-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
025.177;Audiovisuelle Materialien-Behandlung in Bibliotheken;AN 78900;Sonderbestände: Auditive und audiovisuelle Medien
025.177;Audiovisuelle Materialien-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.771;Abbildungen-Behandlung in Bibliotheken;AN 78900;Sonderbestände: Auditive und audiovisuelle Medien
251.771;Abbildungen-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.773;Filme;AN 78900;Sonderbestände: Auditive und audiovisuelle Medien
251.773;Filme;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.782;Tonaufzeichnungen-Behandlung in Bibliotheken;AN 78900;Sonderbestände: Auditive und audiovisuelle Medien
251.782;Tonaufzeichnungen-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
251.788;Partituren-Behandlung in Bibliotheken;AN 78950;Sonderbestände: Einzelne Publikationsformen
251.788;Partituren-Behandlung in Bibliotheken;AN 74800;Katalogisierung von Sonderbeständen (Medien)
