sourcenotation;targetnotation
341.738;89.77
341.738;89.9
342;89.3
342.02;89.3
342.023;89.3
342.024;89.3
342.0242;89.3
342.0243;89.3
342.029;89.32
342.0292;89.32
342.03;89.3
342.032;89.3
342.035;89.3
342.039;89.3
342.04;89.3
342.041;89.3
342.0412;89.9
342.0413;89.39
342.0418;89.4
342.042;89.37
342.044;89.3
342.05;89.3
342.052;89.3
342.053;89.3
342.055;89.3
342.057;89.3
342.06;89.3
342.062;89.3
342.062;89.3
342.066;89.5
342.0662;89.5
342.0662;89.56
342.0664;89.5
342.0667;89.42
342.0667;89.5
342.068;89.52
342.0684;89.52
342.0686;89.52
342.07;89.57
342.072;89.57
342.075;89.57
342.078;89.57
342.082;89.42
342.083;89.42
342.085;89.42
342.0852;89.42
342.0853;89.42
342.0854;89.42
342.0854;89.57
342.0858;89.42
342.087;89.41
342.0872;89.41
342.0873;89.41
342.0878;89.41
342.088;89.42
342.09;88.13
343.01;89.8
343.012;89.82
343.013;89.82
343.014;89.82
351;88
351.011;88
351.011;89.05
351.025;88
352;88
352.112;89.72
352.113;89.72
352.114;89.73
352.1159;89.72
352.116;89.72
352.117;89.72
352.13;89.5
352.14;88.13
352.14;89.5
352.15;89.5
352.16;88.13
352.16;89.5
352.17;88.13
352.17;89.5
352.2;88
352.23;88.11
352.23;89.54
352.24;88.11
352.24;89.54
352.25;88.11
352.25;89.54
352.26;88.11
352.26;89.54
352.28;88.11
352.28;89.54
352.29;88.11
352.29;89.54
352.3;88.11
352.3;89.5
352.33;88.11
352.33;89.55
352.34;88.11
352.34;89.55
352.35;88.11
352.35;89.59
352.36;88.11
352.36;89.59
352.37;88.11
352.37;89.59
352.38;88.11
352.39;88.11
352.39;89.54
352.4;88.11
352.4;89.54
352.6;88.11
352.6;89.52
353.48;89.42
355;89.8
355.001;89.8
355.02;89.76
355.02;89.8
355.021;89.76
355.021;89.8
355.0213;89.29
355.0213;89.76
355.0213;89.8
355.0215;89.76
355.0215;89.84
355.0215;89.8
355.0217;89.76
355.0217;89.8
355.0217;89.87
355.0218;89.58
355.0218;89.76
355.0218;89.8
355.027;89.76
355.027;89.8
355.0272;89.76
355.0272;89.8
355.0272;89.9
355.0273;89.76
355.0273;89.8
355.0274;89.76
355.0274;89.52
355.0274;89.8
355.0275;89.76
355.0275;89.8
355.028;89.76
355.028;89.8
355.03;89.77
355.03;89.8
355.031;89.77
355.031;89.8
355.031091821;89.72
355.031091821;89.9
355.031091821;89.8
355.031091821;89.77
355.0310947;89.72
355.0310947;89.9
355.0310947;89.8
355.0310947;89.77
355.0310956;89.72
355.0310956;89.9
355.0310956;89.8
355.0310956;89.77
355.0310959;89.72
355.0310959;89.9
355.0310959;89.8
355.0310959;89.77
355.032;89.74
355.032;89.9
355.032;89.8
355.032;89.77
355.03304;89.74
355.03304;89.9
355.03304;89.8
355.03304;89.77
355.033073;89.74
355.033073;89.9
355.033073;89.8
355.033073;89.77
355.0332;89.77
355.0332;89.8
355.0335;89.77
355.0335;89.9
355.0335;89.8
355.07;89.8
355.1;89.82
355.2;89.8
355.21;89.8
355.22;89.81
355.22;89.82
355.23;89.81
355.23;89.82
355.24;89.8
355.26;89.8
355.27;89.8
355.28;89.81
355.28;89.82
355.29;89.81
355.29;89.82
355.3;89.81
355.3;89.82
355.31;89.81
355.33;89.82
355.34;89.81
355.34;89.82
355.35;89.81
355.35;89.82
355.37;89.81
355.37;89.82
355.4;89.83
355.41;89.83
355.42;89.83
355.42;89.84
355.43;89.83
355.43;89.87
355.44;89.83
355.44;89.84
355.45;89.83
355.45;89.84
355.46;89.83
355.46;89.84
355.47;89.89
355.48;89.89
355.49;89.83
355.49;89.9
355.5;89.82
355.6;89.8
355.7;89.8
355.81;89.85
355.82;89.87
355.83;89.85
355.85;89.86
364.13;89.59
364.131;89.59
364.132;89.59
364.1322;89.59
364.1323;89.59
364.1324;89.59
364.135;89.7
364.138;89.76
364.138;89.83
364.151;89.76
364.151;89.83
365.45;89.59
370.114;89.53
370.115;89.53
370.116;89.53
370.117;89.53
372.0114;89.53
372.0115;89.53
372.0116;89.53
372.0117;89.53
372.832;89.53
373.0114;89.53
373.0115;89.53
373.0116;89.53
373.0117;89.53
374.0114;89.53
374.0115;89.53
374.0116;89.53
373.0117;89.53
378.014;89.53
378.015;89.53
378.016;89.53
378.017;89.53
378.014;89.53
378.015;89.53
378.016;89.53
378.017;89.53
623;89.87
